대학명,단과대학명,학과명,지역
가야대학교,-,-,경남
가천대학교,-,-,경기
가톨릭관동대학교,-,-,강원
가톨릭꽃동네대학교,-,-,충북
가톨릭대학교,-,-,경기
강남대학교,-,-,경기
강서대학교,-,-,서울
강원대학교,-,-,강원
건국대학교,-,-,서울
건양대학교,-,-,충남
경국대학교,-,-,경북
경기대학교,-,-,경기
경남대학교,-,-,경남
경동대학교,-,-,강원
경북대학교,-,-,대구
경상국립대학교,-,-,경남
경성대학교,-,-,부산
경운대학교,-,-,경북
경일대학교,-,-,경북
경희대학교,-,-,서울
계명대학교,-,-,대구
고려대학교,-,-,서울
고신대학교,-,-,부산
공주대학교,-,-,충남
광운대학교,-,-,서울
광주대학교,-,-,광주
국민대학교,-,-,서울
군산대학교,-,-,전북
극동대학교,-,-,충북
금강대학교,-,-,충남
금오공과대학교,-,-,경북
김천대학교,-,-,경북
나사렛대학교,-,-,충남
남부대학교,-,-,광주
남서울대학교,-,-,충남
단국대학교,-,-,경기
대구가톨릭대학교,-,-,경북
대구대학교,-,-,경북
대전대학교,-,-,대전
대진대학교,-,-,경기
덕성여자대학교,-,-,서울
동국대학교,-,-,서울
동덕여자대학교,-,-,서울
동명대학교,-,-,부산
동서대학교,-,-,부산
동신대학교,-,-,전남
동아대학교,-,-,부산
동양대학교,-,-,경북
동의대학교,-,-,부산
명지대학교,-,-,서울
목원대학교,-,-,대전
목포가톨릭대학교,-,-,전남
목포대학교,-,-,전남
목포해양대학교,-,-,전남
배재대학교,-,-,대전
백석대학교,-,-,충남
부경대학교,-,-,부산
부산가톨릭대학교,-,-,부산
부산대학교,-,-,부산
삼육대학교,-,-,서울
상명대학교,-,-,서울
상지대학교,-,-,강원
서강대학교,-,-,서울
서경대학교,-,-,서울
서울과학기술대학교,-,-,서울
서울교육대학교,-,-,서울
서울대학교,-,-,서울
서울시립대학교,-,-,서울
서원대학교,-,-,충북
선문대학교,-,-,충남
성결대학교,-,-,경기
성공회대학교,-,-,서울
성균관대,-,-,서울
성신여자대학교,-,-,서울
세명대학교,-,-,충북
세종대학교,-,-,서울
세한대학교,-,-,전남
송원대학교,-,-,광주
수원대학교,-,-,경기
숙명여자대학교,-,-,서울
순천대학교,-,-,전남
순천향대학교,-,-,충남
숭실대학교,-,-,서울
신경주대학교,-,-,경북
신라대학교,-,-,부산
신한대학교,-,-,경기
아신대학교,-,-,경기
아주대학교,-,-,경기
안양대학교,-,-,경기
연세대학교,-,-,서울
영남대학교,-,-,경북
영산대학교,-,-,부산
영산선학대학교,-,-,전남
용인대학교,-,-,경기
우석대학교,-,-,전북
우송대학교,-,-,대전
울산대학교,-,-,울산
원광대학교,-,-,전북
위덕대학교,-,-,경북
유원대학교,-,-,충북
을지대학교,-,-,대전
인제대학교,-,-,경남
인천가톨릭대학교,-,-,인천
인천대학교,-,-,인천
인하대학교,-,-,인천
전남대학교2028,-,-,
전북대학교2028,-,-,
전주대학교,-,-,전북
제주대학교2028,-,-,
조선대학교[광주]2027수시,-,-,
조선대학교,-,-,광주
중부대학교,-,-,충남
중앙대학교,-,-,서울
중원대학교,-,-,충북
창신대학교,-,-,경남
창원대학교,-,-,경남
청운대학교,-,-,충남
청주대학교,-,-,충북
초당대학교,-,-,전남
충남대학교,-,-,대전
충북대학교,-,-,충북
평택대학교,-,-,경기
포항공과대학교,-,-,경북
한경국립대학교,-,-,경기
한국공학대학교,-,-,경기
한국교원대학교,-,-,충북
한국교통대학교,-,-,충북
한국기술교육대학교,-,-,충남
한국외국어대학교,-,-,서울
한국체육대학교,-,-,서울
한국항공대학교,-,-,경기
한국해양대학교,-,-,부산
한남대학교,-,-,대전
한동대학교,-,-,경북
한라대학교,-,-,강원
한림대학교,-,-,강원
한밭대학교,-,-,대전
한서대학교,-,-,충남
한성대학교,-,-,서울
한세대학교,-,-,경기
한신대학교,-,-,경기
한양대학교,-,-,서울
협성대학교,-,-,경기
호남대학교,-,-,광주
호서대학교,-,-,충남
홍익대학교,-,-,서울
