대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
가야대학교,경남,수시,- 지역인재 : 28명,재외국민과,28,확인필요,,,
가야대학교,경남,수시,- 지역인재 : 28명,재외국인과,1,확인필요,,,
가야대학교,경남,수시,1. 학생부교과(일반),전형유형 구 분 세 부,199,확인필요,,,
가야대학교,경남,수시,2. 학생부교과(가야인재),전형유형 구 분 세 부,148,확인필요,,,
가야대학교,경남,수시,3. 학생부교과(지역인재),전형유형 구 분 세 부,28,확인필요,,,
가야대학교,경남,수시,(지역인재) 아닌 지역에 소재한 「초·중등교육법」제2조에 따른 중학교와 해당 지방대학,전형유형 구 분 세 부,2,확인필요,,,
가야대학교,경남,수시,"(지역인재 지원자격 의 「초·중등교육법」 제2조에 따른 ‘고등학교’를 졸업(예정)한 자 중, 경",전형유형 구 분 세 부,7,확인필요,,,
가야대학교,경남,수시,학생부교과 지원자격,전형유형 구 분 세 부,6,확인필요,,,
가야대학교,경남,수시,학생부교과,전형유형 구 분 세 부,9,확인필요,,,
가야대학교,경남,수시,학생부교과,전형유형 구 분 세 부,1,확인필요,,,
