대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
가톨릭대학교,경기,수시,학생부교과 352명 17.2% 324명 15.8% ▼28,학생부교과,352,확인필요,,,
가톨릭대학교,경기,수시,학생부교과 352명 17.2% 324명 15.8% ▼28,학생부,846,확인필요,,,
가톨릭대학교,경기,수시,◦학생부교과 지원자격 [변경]: (2027학년도) 2025년 2월 이후 졸업(예정)자 → (2028학년도) 졸업예정자,학생부교과,043,확인필요,,,
가톨릭대학교,경기,수시,학교장추천전형 ⇨ 및 학교장추천전형,학생부교과,261,확인필요,,,
가톨릭대학교,경기,수시,학교장추천전형 ⇨ 및 학교장추천전형,자유전공학부,66,확인필요,,,
가톨릭대학교,경기,수시,학교장추천전형 ⇨ 및 학교장추천전형,모집단위별 반영교과,25,확인필요,,,
가톨릭대학교,경기,수시,"※ 가톨릭지도자추천전형, 학교장추천전형은 2027학년도와 동일",학생부,251,확인필요,,,
가톨릭대학교,경기,수시,학교장추천 ◦의예과 고교별 추천인원 2명으로 확대,학생부,2,확인필요,,,
가톨릭대학교,경기,수시,학교장추천 ◦의예과 고교별 추천인원 2명으로 확대,간호학과,96,확인필요,,,
가톨릭대학교,경기,수시,학교장추천 ◦의예과 고교별 추천인원 2명으로 확대,통합과,5,확인필요,,,
가톨릭대학교,경기,수시,학교장추천 ◦의예과 고교별 추천인원 2명으로 확대,인공지능학과,35,확인필요,,,
가톨릭대학교,경기,수시,학교장추천 ◦의예과 고교별 추천인원 2명으로 확대,자연공학계열,634,확인필요,,,
가톨릭대학교,경기,수시,학교장추천 ◦의예과 고교별 추천인원 2명으로 확대,인문사회계열,218,확인필요,,,
가톨릭대학교,경기,수시,수능(일반전형Ⅰ) 444명,바이오로직스공학부,444,확인필요,,,
가톨릭대학교,경기,수시,수능(일반전형Ⅰ) 444명,명 자연공학계열,126,확인필요,,,
가톨릭대학교,경기,수시,수능(일반전형Ⅰ) 444명,명 자유전공학부,100,확인필요,,,
가톨릭대학교,경기,수시,수능(일반전형Ⅰ) 444명,명 인문사회계열,57,확인필요,,,
가톨릭대학교,경기,수시,수능(일반전형Ⅱ) 나 37명 140명 자연공학계열,명 자연공학계열,37,확인필요,,,
가톨릭대학교,경기,수시,수능(일반전형Ⅱ) 나 37명 140명 자연공학계열,명 자유전공학부,46,확인필요,,,
가톨릭대학교,경기,수시,수능(일반전형Ⅲ) 가 35명 의예과,명 신학과,5,확인필요,,,
가톨릭대학교,경기,수시,수능(일반전형Ⅲ) 가 35명 의예과,명 음악과,10,확인필요,,,
가톨릭대학교,경기,수시,수능(일반전형Ⅱ) ‘다’군 46,학생부,35,확인필요,,,
가톨릭대학교,경기,수시,1. 학생부교과(지역균형전형),구분 세부,231,확인필요,,,
가톨릭대학교,경기,수시,학생부교과 및,구분 세부,68,확인필요,,,
가톨릭대학교,경기,수시,학생부교과 및,구분 세부,25,확인필요,,,
가톨릭대학교,경기,수시,학생부교과 및,구분 세부,256,확인필요,,,
가톨릭대학교,경기,수시,학생부교과 및,구분 세부,283,확인필요,,,
가톨릭대학교,경기,수시,학생부교과 및,구분 세부,51,확인필요,,,
가톨릭대학교,경기,수시,학생부교과 및,신학과,1,확인필요,,,
가톨릭대학교,경기,수시,학생부교과 및,구분 세부,69,확인필요,,,
가톨릭대학교,경기,수시,학생부교과 및,이 학교생활기록부,2,확인필요,,,
가톨릭대학교,경기,수시,학생부교과 및,구분 세부,96,확인필요,,,
가톨릭대학교,경기,수시,학생부교과 및,구분 세부,3,확인필요,,,
가톨릭대학교,경기,수시,학생부교과 및,정원 외 전공,108,확인필요,,,
가톨릭대학교,경기,수시,학생부교과 및,구분 세부,10,확인필요,,,
가톨릭대학교,경기,수시,학생부교과 및,구분 세부,176,확인필요,,,
가톨릭대학교,경기,수시,학생부교과 및,구분 세부,35,확인필요,,,
가톨릭대학교,경기,수시,라. 학생부 교과성적 산출방법,보통교과 및 전문교과,5,확인필요,,,
가톨릭대학교,경기,수시,1. 수능(일반전형Ⅰ),명 의생명과학과,218,확인필요,,,
가톨릭대학교,경기,수시,1. 수능(일반전형Ⅰ),특수교육과,444,확인필요,,,
가톨릭대학교,경기,수시,1. 수능(일반전형Ⅰ),명 자연공학계열,126,확인필요,,,
가톨릭대학교,경기,수시,1. 수능(일반전형Ⅰ),명 자유전공학부,100,확인필요,,,
가톨릭대학교,경기,수시,2. 수능(일반전형Ⅱ),명 인문사회계열,57,확인필요,,,
가톨릭대학교,경기,수시,2. 수능(일반전형Ⅱ),명 자연공학계열,37,확인필요,,,
가톨릭대학교,경기,수시,2. 수능(일반전형Ⅱ),명 자유전공학부,46,확인필요,,,
가톨릭대학교,경기,수시,3. 수능(일반전형Ⅲ),구분 세부,35,확인필요,,,
가톨릭대학교,경기,수시,3. 수능(일반전형Ⅲ),가군 신학과,5,확인필요,,,
가톨릭대학교,경기,수시,3. 수능(일반전형Ⅲ),가군 음악과,10,확인필요,,,
