대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
강남대학교,경기,수시,나. 학생부교과(지역균형전형) 야간 모집단위 및 그 외 전형 : 수능최저학력기준을 적용하지 않음,학생부교과,278,학생부교과(기초차상위전형) 교과 일괄합산 100%,,,
강남대학교,경기,수시,나. 학생부교과(지역균형전형) - 정원내,학생부교과,193,교과100%,,,
강남대학교,경기,수시,나. 학생부교과(지역균형전형) - 정원내,년 전 교육과,58,교과80%,,,
강남대학교,경기,수시,라. 학생부교과(국가보훈대상자전형) - 정원내,학생부교과,19,교과100%,,,
강남대학교,경기,수시,라. 학생부교과(국가보훈대상자전형) - 정원내,학기까지 국내 고등학교 학교생활기록부,232,교과100%,,,
강남대학교,경기,수시,라. 학생부교과(국가보훈대상자전형) - 정원내,학기까지 국내 고등학교 학교생활기록부,69,교과100%,,,
강남대학교,경기,수시,라. 학생부교과(국가보훈대상자전형) - 정원내,학생부,84,교과100%,,,
강남대학교,경기,수시,라. 학생부교과(국가보훈대상자전형) - 정원내,본교 모집단위별 동일계열 교과,22,교과100%,,,
강남대학교,경기,수시,라. 학생부교과(국가보훈대상자전형) - 정원내,학생부교과,58,교과100%,,,
강남대학교,경기,수시,라. 학생부교과(국가보훈대상자전형) - 정원내,학생부,14,교과100%,,,
