대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
강원대학교,강원,수시,학생부교과(지역의사선발-정성평가전형),인문대학,462,학생부교과 70%,,,
강원대학교,강원,수시,학생부교과(지역의사선발-정성평가전형),원예학과,372,학생부교과 70%,,,
강원대학교,강원,수시,학생부교과(지역의사선발-정성평가전형),국내 고등학교 전 교육과,6,학생부교과 70%,,,
강원대학교,강원,수시,학생부교과(지역의사선발-정성평가전형),학생부,115,학생부교과 70%,,,
강원대학교,강원,수시,학생부교과(일반전형) 학생부교과(저소득-강원인재전형),간호학과,742,학생부교과 70%,,,
강원대학교,강원,수시,학생부교과(강원인재전형),강원권 지역에 소재한 고등학교를 입학부,487,학생부교과 70%,,,
강원대학교,강원,수시,학생부교과(일반-정성평가전형) 학생부교과(강원인재-정성평가전형),학생부교과,24,학생부교과 70%,,,
강원대학교,강원,수시,학생부교과(일반-정성평가전형) 학생부교과(강원인재-정성평가전형),강원지역 고등학교에서 입학부터 졸업까지의 모든 교육과,28,학생부교과 70%,,,
강원대학교,강원,수시,(나) 2단계 정성평가: 학생부 교과학습발달상황 정성평가,학생부교과,49,학생부교과 70%,,,
강원대학교,강원,수시,(나) 2단계 정성평가: 학생부 교과학습발달상황 정성평가,명 전공관련 교과,10,학생부교과 70%,,,
강원대학교,강원,수시,(나) 2단계 정성평가: 학생부 교과학습발달상황 정성평가,학생부교과,5,학생부교과 70%,,,
강원대학교,강원,수시,(나) 2단계 정성평가: 학생부 교과학습발달상황 정성평가,스포츠과학과,17,학생부교과 70%,,,
강원대학교,강원,수시,(나) 2단계 정성평가: 학생부 교과학습발달상황 정성평가,학교의 전 교육과,125,학생부교과 70%,,,
강원대학교,강원,수시,학생부교과(저소득학생전형)-정원외 학생부교과(특수교육대상자전형)-정원외,학생부교과,4,학생부교과 70%,,,
강원대학교,강원,수시,가. 모집 인원: 43명(1.3%) 전형 방법 대비 학생부 교과,전형 방법 대비 학생부 교과,43,학생부교과 70%,,,
강원대학교,강원,수시,※ 학생부교과 반영 시 전문교과 포함하여 반영,스포츠과학과,3,학생부교과 70%,,,
강원대학교,강원,수시,※ 학생부교과 반영 시 전문교과 포함하여 반영,디자인학과,103,학생부교과 70%,,,
강원대학교,강원,수시,※ 학생부교과 반영 시 전문교과 포함하여 반영,스포츠과학과,9,학생부교과 70%,,,
강원대학교,강원,수시,"수능(일반전형) - 가군, 나군 -",수시모집 학생부교과,632,학생부교과 70%,,,
강원대학교,강원,수시,"수능(일반전형) - 가군, 나군 -",전형 요소 및 반영 비율 디자인학과,00,학생부교과 70%,,,
강원대학교,강원,수시,"수능(일반전형) - 가군, 나군 -",간호학과,14,학생부교과 70%,,,
강원대학교,강원,수시,"수능(일반전형) - 가군, 나군 -",자로서 학생이 입학일부,00,학생부교과 70%,,,
강원대학교,강원,수시,"수능(일반전형) - 가군, 나군 -",강원권 지역에 소재한 고등학교를 입학부,00,학생부교과 70%,,,
강원대학교,강원,수시,선발 비율 학생부교과 합계,스마트팜농산업학과,9,학생부교과 70%,,,
강원대학교,강원,수시,선발 비율 학생부교과 합계,스마트팜농산업학과,6,학생부교과 70%,,,
