대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
건국대학교,서울,수시,학생부교과 Ÿ [인문/자연],KU자유전공학부,3,확인필요,,,
건국대학교,서울,수시,학생부교과 KU지역균형,학생부교과,348,확인필요,,,
건국대학교,서울,수시,학생부교과 KU지역균형,학생부,910,확인필요,,,
건국대학교,서울,수시,학생부교과 KU지역균형,학생부,80,확인필요,,,
건국대학교,서울,수시,학생부교과 KU지역균형,이혼 시점부터 고교 졸업일까지 부,1,확인필요,,,
건국대학교,서울,수시,학생부교과 KU지역균형,학생부,20,확인필요,,,
건국대학교,서울,수시,학생부교과 KU지역균형,서류 진위여부,327,확인필요,,,
건국대학교,서울,수시,학생부교과 KU지역균형,수학 교과,15,확인필요,,,
건국대학교,서울,수시,학생부교과 KU지역균형,학생부,13,확인필요,,,
건국대학교,서울,수시,학생부교과 KU지역균형,학생부,165,확인필요,,,
건국대학교,서울,수시,학생부교과 KU지역균형,l 학생부,3,확인필요,,,
