대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
경국대학교,경북,수시,학생부교과[지역인재전형],학생부,142,확인필요,,,
경국대학교,경북,수시,학생부교과[지역인재전형],간호학부,2,확인필요,,,
경국대학교,경북,수시,학생부교과[지역인재전형],학생부,12,확인필요,,,
경국대학교,경북,수시,학생부교과[선수출신자전형],학생부,4,확인필요,,,
경국대학교,경북,수시,학생부교과[선수출신자전형],학생부,263,확인필요,,,
경국대학교,경북,수시,학생부교과[선수출신자전형],명 간호학부,16,확인필요,,,
경국대학교,경북,수시,학생부교과[선수출신자전형],명 미술학전공,6,확인필요,,,
경국대학교,경북,수시,학생부교과[선수출신자전형],명 체육학전공,20,확인필요,,,
경국대학교,경북,수시,학생부교과[선수출신자전형],학생부,22,확인필요,,,
경국대학교,경북,수시,학생부교과[선수출신자전형],학생부,19,확인필요,,,
경국대학교,경북,수시,학생부교과[선수출신자전형],학생부,22,확인필요,,,
경국대학교,경북,수시,학생부교과[선수출신자전형],학생부,34,확인필요,,,
경국대학교,경북,수시,학생부교과[선수출신자전형],학생부,2,확인필요,,,
