대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
경북대학교,대구,수시,"일반학생, 지역인재, 지역의사선발",음악학과,3,교과 10%,,,
경북대학교,대구,수시,"일반학생, 지역인재, 지역의사선발",디자인학과,5,교과 10%,,,
경북대학교,대구,수시,학생부교과 교과우수자전형,학생부교과 교과,395,교과 10%,,,
경북대학교,대구,수시,4. 학생부 교과 성적 반영: 46~47쪽 참조,기본 교과 이수 현황과 모집단위별 특성을 고려하여 교과,2,교과 10%,,,
경북대학교,대구,수시,학생부교과 지역인재전형,학생부교과,597,교과 10%,,,
경북대학교,대구,수시,4. 학생부 교과 성적 반영: 46~47쪽 참조,기본 교과 이수 현황과 모집단위별 특성을 고려하여 교과,2,교과 10%,,,
경북대학교,대구,수시,경우 정시모집 지역인재전형으로 이월하여 선발함),학생부교과,9,교과 10%,,,
경북대학교,대구,수시,4. 학생부 교과 성적 반영: 46~47쪽 참조,기본 교과 이수 현황과 모집단위별 특성을 고려하여 교과,2,교과 10%,,,
경북대학교,대구,수시,학생부교과 사회통합전형,학생부교과,119,교과 10%,,,
경북대학교,대구,수시,4. 학생부 교과 성적 반영: 46~47쪽 참조,기본 교과 이수 현황과 모집단위별 특성을 고려하여 교과,2,교과 10%,,,
경북대학교,대구,수시,경우 정시모집 지역인재전형으로 이월하여 선발함),학생부,33,교과 10%,,,
경북대학교,대구,수시,"1. 모집인원: 1,034명(일반학생: 1,003명, 지역인재: 31명)",학생부 교과,034,교과 10%,,,
