대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
경일대학교,경북,수시,일반전형 386명 학생부 교과 100%,명 학생부 교과,386,학생부 교과 100%,,,
경일대학교,경북,수시,지역인재교과전형 61명 학생부 교과 100%,지역인재교과,61,학생부 교과 100%,,,
경일대학교,경북,수시,면접전형 271명 학생부 교과 70% + 면접 30%,명 학생부 교과,271,학생부 교과 70%,,,
경일대학교,경북,수시,면접전형 271명 학생부 교과 70% + 면접 30%,명 학생부 교과,15,학생부 교과 100%,,,
경일대학교,경북,수시,면접전형 271명 학생부 교과 70% + 면접 30%,학생부,102,학생부 교과 100%,,,
경일대학교,경북,수시,면접전형 271명 학생부 교과 70% + 면접 30%,학생부,50,학생부 교과 100%,,,
경일대학교,경북,수시,면접전형 271명 학생부 교과 70% + 면접 30%,만화애니메이션학부,105,학생부 교과 20%,,,
경일대학교,경북,수시,면접전형 271명 학생부 교과 70% + 면접 30%,시각디자인학과,7,학생부 교과 20%,,,
경일대학교,경북,수시,면접전형 271명 학생부 교과 70% + 면접 30%,만화애니메이션학부,97,학생부 교과 30%,,,
경일대학교,경북,수시,면접전형 271명 학생부 교과 70% + 면접 30%,실적 포트폴리오 만화애니메이션학부,20,학생부 교과 20%,,,
경일대학교,경북,수시,면접전형 271명 학생부 교과 70% + 면접 30%,전형 만화애니메이션학부,58,학생부 교과 30%,,,
경일대학교,경북,수시,경기실적전형 58명 학생부 교과 20% + 실적 80%,명 학생부 교과,58,학생부 교과 20%,,,
경일대학교,경북,수시,경기실적전형 58명 학생부 교과 20% + 실적 80%,학생부,63,학생부 교과 20%,,,
경일대학교,경북,수시,경기실적전형 58명 학생부 교과 20% + 실적 80%,학생부,17,학생부 교과 20%,,,
경일대학교,경북,수시,경기실적전형 58명 학생부 교과 20% + 실적 80%,명 학생부 교과,37,학생부 교과 100%,,,
경일대학교,경북,수시,수능 일반전형 15명 수능 90% + 학생부 교과 10%,학생부 교과,15,학생부 교과 10%,,,
경일대학교,경북,수시,수능 일반전형 4명 수능 90% + 학생부 교과 10%,학생부 교과,4,학생부 교과 10%,,,
경일대학교,경북,수시,수능 일반전형 4명 수능 90% + 학생부 교과 10%,사진영상학부,5,학생부 교과 10%,,,
경일대학교,경북,수시,수능 일반전형 4명 수능 90% + 학생부 교과 10%,학생부,25,학생부 교과 10%,,,
경일대학교,경북,수시,수능 일반전형 3명 수능 90% + 학생부 교과 10%,학생부 교과,3,학생부 교과 10%,,,
경일대학교,경북,수시,수능 일반전형 3명 수능 90% + 학생부 교과 10%,만화애니메이션학부,7,학생부 교과 10%,,,
경일대학교,경북,수시,수능 일반전형 3명 수능 90% + 학생부 교과 10%,스포츠복지학과,5,학생부 교과 10%,,,
경일대학교,경북,수시,수능 일반전형 3명 수능 90% + 학생부 교과 10%,학생부 교과,15,학생부 교과 10%,,,
경일대학교,경북,수시,수능 일반전형 3명 수능 90% + 학생부 교과 10%,경일대학,781,학생부 교과 10%,,,
경일대학교,경북,수시,1. 【학생부교과】 일반전형,학생부교과,386,학생부 교과 10%,,,
경일대학교,경북,수시,2. 【학생부교과】 지역인재교과전형,학생부교과,61,학생부 교과 10%,,,
경일대학교,경북,수시,3. 【학생부교과】 면접전형,학생부교과,271,학생부 교과 10%,,,
경일대학교,경북,수시,3. 【학생부교과】 면접전형,학교생활기록부 교과,3,학생부 교과 10%,,,
경일대학교,경북,수시,3. 【학생부교과】 면접전형,학생부교과,15,학생부 교과 10%,,,
경일대학교,경북,수시,3. 【학생부교과】 면접전형,학생부,102,학생부 교과 10%,,,
경일대학교,경북,수시,1. 【수능위주】 일반전형,육비 전액을 본인이 부,15,학생부 교과 10%,,,
경일대학교,경북,수시,모집단위 전형단계 대학수학능력시험 학생부교과 총점,모집단위 전형단계 대학수학능력시험 학생부교과,3,학생부 교과 10%,,,
경일대학교,경북,수시,학생부 지역인재교과전형 * 전학년 공통과목/일반선택/진로선택 : 전학,학년도 재외국민과,00,교과90%,,,
경일대학교,경북,수시,학생부 지역인재교과전형 * 전학년 공통과목/일반선택/진로선택 : 전학,수시 전교육과,00,교과90%,,,
경일대학교,경북,수시,학생부 지역인재교과전형 * 전학년 공통과목/일반선택/진로선택 : 전학,년 이상 우리나라 학교 교육과,00,교과90%,,,
