대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
계명대학교,대구,수시,■ 학생부교과(면접전형) 반영비율 조정,시 교과,6,확인필요,,,
계명대학교,대구,수시,수시 학생부교과 ▸1단계 학생부 100%(20배수 선발) ▸1단계 학생부 100%(20배수 선발),경영대학 융합비즈니스학과,60,확인필요,,,
계명대학교,대구,수시,수시 학생부교과 ▸1단계 학생부 100%(20배수 선발) ▸1단계 학생부 100%(20배수 선발),성인학습자 전담학과,30,확인필요,,,
계명대학교,대구,수시,수능 일반전형 220 ▸수능 100% X X,융합비즈니스학과는 성인학습자 전담학과,30,확인필요,,,
계명대학교,대구,수시,1. 학생부교과(일반전형),학생부교과,827,확인필요,,,
계명대학교,대구,수시,(일반전형) 1단계 학생부 100% (20배수 선발),단계 학생부,7,확인필요,,,
계명대학교,대구,수시,2. 학생부교과(지역전형),학생부교과,627,확인필요,,,
계명대학교,대구,수시,학생부교과,학생부교과,21,확인필요,,,
계명대학교,대구,수시,학생부교과,개 과,8,확인필요,,,
계명대학교,대구,수시,3. 학생부교과(지역의사광역전형),학생부교과,6,확인필요,,,
계명대학교,대구,수시,학생부교과,학생부교과,6,확인필요,,,
계명대학교,대구,수시,학생부교과,학생부교과,7,확인필요,,,
계명대학교,대구,수시,학생부교과,간호학과,4,확인필요,,,
계명대학교,대구,수시,학생부교과,일괄합산 학생부,1,확인필요,,,
계명대학교,대구,수시,학생부교과,단계 학생부,2,확인필요,,,
계명대학교,대구,수시,5. 학생부교과(면접전형),학생부교과,393,확인필요,,,
계명대학교,대구,수시,학생부교과 해당 모집단위,학생부교과,141,확인필요,,,
계명대학교,대구,수시,학생부교과 해당 모집단위,학생부,906,확인필요,,,
계명대학교,대구,수시,(일반전형) 1단계 서류 100%(10배수 선발),학생부,10,확인필요,,,
계명대학교,대구,수시,(일반전형) 1단계 서류 100%(10배수 선발),학생부,580,확인필요,,,
계명대학교,대구,수시,(일반전형) 1단계 서류 100%(10배수 선발),학생부,20,확인필요,,,
계명대학교,대구,수시,(일반전형) 1단계 서류 100%(10배수 선발),개 과,8,확인필요,,,
계명대학교,대구,수시,(일반전형) 1단계 서류 100%(10배수 선발),학생부,13,확인필요,,,
계명대학교,대구,수시,(일반전형) 1단계 서류 100%(10배수 선발),에 소재한 고등학교에서 입학부터 졸업까지의 모든 교육과,3,확인필요,,,
계명대학교,대구,수시,(일반전형) 1단계 서류 100%(10배수 선발),학생부,13,확인필요,,,
계명대학교,대구,수시,(일반전형) 1단계 서류 100%(10배수 선발),개 과,13,확인필요,,,
계명대학교,대구,수시,(일반전형) 1단계 서류 100%(10배수 선발),수 시 학생부,554,확인필요,,,
계명대학교,대구,수시,(일반전형) 1단계 서류 100%(10배수 선발),학생부,50,확인필요,,,
계명대학교,대구,수시,(일반전형) 1단계 서류 100%(10배수 선발),학생부,179,확인필요,,,
계명대학교,대구,수시,(일반전형) 1단계 서류 100%(10배수 선발),학생부교과,3,확인필요,,,
계명대학교,대구,수시,학생부교과,학생부교과,3,확인필요,,,
계명대학교,대구,수시,학생부교과,학생부교과,66,확인필요,,,
계명대학교,대구,수시,학생부교과(군위탁전형),학생부교과,45,확인필요,,,
계명대학교,대구,수시,학생부교과,융합비즈니스학과,30,확인필요,,,
계명대학교,대구,수시,학생부교과,경영학과,15,확인필요,,,
계명대학교,대구,수시,학생부교과,학생부교과,55,확인필요,,,
계명대학교,대구,수시,학생부교과 해당 모집단위,학생부교과,55,확인필요,,,
계명대학교,대구,수시,학생부교과 해당 모집단위,명 학생부,45,확인필요,,,
계명대학교,대구,수시,학생부교과 해당 모집단위,학생부,10,확인필요,,,
계명대학교,대구,수시,"1. 수능(일반전형) – 가군, 나군, 다군",학년도 대학,210,확인필요,,,
