대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
고려대학교,서울,수시,2. 수능(교과우수전형) 25,전교육과,721,확인필요,,,
고려대학교,서울,수시,1. 학생부교과(학교추천전형),학생부교과,672,교과 90%,,,
고려대학교,서울,수시,1. 학생부교과(학교추천전형),명이며 지원 계열,12,교과 90%,,,
고려대학교,서울,수시,1. 학생부교과(학교추천전형),학생부,823,교과 90%,,,
고려대학교,서울,수시,1. 학생부교과(학교추천전형),학생부,556,교과 90%,,,
고려대학교,서울,수시,1. 학생부교과(학교추천전형),학생부,200,교과 90%,,,
고려대학교,서울,수시,1. 학생부교과(학교추천전형),학생부,20,교과 90%,,,
고려대학교,서울,수시,1. 학생부교과(학교추천전형),지원 횟수 제한사항과,18,교과 90%,,,
고려대학교,서울,수시,1. 학생부교과(학교추천전형),년 이상의 직업교육훈련 과,1,교과 90%,,,
고려대학교,서울,수시,1. 학생부교과(학교추천전형),학생부,10,교과 90%,,,
고려대학교,서울,수시,1. 학생부교과(학교추천전형),학생부,367,교과 90%,,,
고려대학교,서울,수시,1. 학생부교과(학교추천전형),체육교육과,40,교과 90%,,,
고려대학교,서울,수시,1. 학생부교과(학교추천전형),디자인조형학부,15,교과 90%,,,
고려대학교,서울,수시,1. 수능(일반전형),탐구영역은 사회탐구와 과,128,교과 90%,,,
고려대학교,서울,수시,2. 수능(교과우수전형),예능 디자인조형학부,489,교과 90%,,,
고려대학교,서울,수시,2. 수능(교과우수전형),학생부,1,교과 90%,,,
고려대학교,서울,수시,2. 수능(교과우수전형),농어촌 소재지 학교에서 학생 본인이 중학교 입학일부,2,교과 90%,,,
고려대학교,서울,수시,2. 수능(교과우수전형),예능 디자인조형학부,78,교과 90%,,,
고려대학교,서울,수시,2. 수능(교과우수전형),에 준하는 교육과,78,교과 90%,,,
