대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
국민대학교,서울,수시,교과우수자(학교장추천) 전형,모집계열,1,확인필요,,,
국민대학교,서울,수시,교과우수자(학교장추천) 전형,체육대학,2,확인필요,,,
국민대학교,서울,수시,교과우수자(학교장추천) 전형,스포츠건강재활학과,4,확인필요,,,
국민대학교,서울,수시,교과우수자(학교장추천) 전형,체육대학,2,확인필요,,,
국민대학교,서울,수시,학생부교과 20%,국민대학,5,학생부교과 20%,,,
국민대학교,서울,수시,학생부교과 20%,학생부교과,620,학생부교과 20%,,,
국민대학교,서울,수시,학생부교과 100%,학생부교과,122,학생부교과 100%,,,
국민대학교,서울,수시,"제출서류:학생부, 학교장추천서 등",학생부,20,학생부교과 100%,,,
국민대학교,서울,수시,"제출서류:학생부, 학교장추천서 등",학생부,237,학생부교과 100%,,,
국민대학교,서울,수시,"제출서류:학생부, 학교장추천서 등",학생부,10,학생부교과 100%,,,
국민대학교,서울,수시,"제출서류:학생부, 학교장추천서 등",재외국민과,56,학생부교과 100%,,,
국민대학교,서울,수시,"제출서류:학생부, 학교장추천서 등",무용전공,56,학생부교과 100%,,,
국민대학교,서울,수시,"제출서류:학생부, 학교장추천서 등",전 교육과,5,학생부교과 100%,,,
국민대학교,서울,수시,"제출서류:학생부, 학교장추천서 등",인문계 자연계 미래융합대학,763,학생부교과 100%,,,
국민대학교,서울,수시,"제출서류:학생부, 학교장추천서 등",기업융합법학과,46,학생부교과 100%,,,
국민대학교,서울,수시,"제출서류:학생부, 학교장추천서 등",기업경영학부,98,학생부교과 100%,,,
국민대학교,서울,수시,"제출서류:학생부, 학교장추천서 등",회계세무학과,12,학생부교과 100%,,,
국민대학교,서울,수시,"제출서류:학생부, 학교장추천서 등",자동차모빌리티대학,105,학생부교과 100%,,,
국민대학교,서울,수시,교과우수자(학교장추천)전형,모집단위별 세부,550,학생부교과 100%,,,
국민대학교,서울,수시,교과우수자(학교장추천)전형,모집단위별 세부,70,학생부교과 100%,,,
국민대학교,서울,수시,구분 학생부교과,모집단위별 세부,723,학생부교과 100%,,,
국민대학교,서울,수시,구분 학생부교과,모집단위별 세부,29,학생부교과 100%,,,
국민대학교,서울,수시,구분 학생부교과,모집단위별 세부,10,학생부교과 100%,,,
국민대학교,서울,수시,구분 학생부교과,모집단위별 세부,122,학생부교과 100%,,,
국민대학교,서울,수시,구분 학생부교과,모집단위별 세부,20,학생부교과 100%,,,
국민대학교,서울,수시,구분 학생부교과,모집단위별 세부,100,학생부교과 100%,,,
국민대학교,서울,수시,구분 학생부교과,모집단위별 세부,57,학생부교과 100%,,,
국민대학교,서울,수시,구분 학생부교과,모집단위별 세부,156,학생부교과 100%,,,
국민대학교,서울,수시,구분 학생부교과,모집단위별 세부,237,학생부교과 100%,,,
국민대학교,서울,수시,구분 학생부교과,자동차모빌리티대학,1,학생부교과 100%,,,
국민대학교,서울,수시,구분 학생부교과,디자인학과 디자인학과 공예학과 공예학과 디자인학과 디자인학과 디자인학과 디자인학과 디자인학,10,학생부교과 100%,,,
국민대학교,서울,수시,구분 학생부교과,국민대학,15,학생부교과 100%,,,
국민대학교,서울,수시,구분 학생부교과,공연예술학부 연극전공,20,학생부교과 100%,,,
국민대학교,서울,수시,구분 학생부교과,공연예술학부 영화전공,13,학생부교과 100%,,,
국민대학교,서울,수시,구분 학생부교과,공연예술학부 무용전공,26,학생부교과 100%,,,
국민대학교,서울,수시,구분 학생부교과,미술학부 회화전공,10,학생부교과 100%,,,
국민대학교,서울,수시,구분 학생부교과,재외국민과,56,학생부교과 100%,,,
