대학명,지역,전형구분,군,학과명,모집인원,국어비율,수학비율,영어비율,탐구비율,한국사비율,과목별반영비율,비고
국민대학교,서울,정시,가군,자유전공,763,40%,30%,10%,,,국어:40% | 수학:30% | 영어:10%,
국민대학교,서울,정시,가군,기업융합법학과,46,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,기업경영학부,98,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,회계세무학과,12,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,명 중 미래모빌리티학과,105,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,모집단위별 세부,550,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,모집단위별 세부,70,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,모집단위별 세부,723,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,모집단위별 세부,29,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,모집단위별 세부,10,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,모집단위별 세부,122,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,모집단위별 세부,20,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,모집단위별 세부,100,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,모집단위별 세부,57,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,모집단위별 세부,156,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,모집단위별 세부,237,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,모집계열,1,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,디자인학과 디자인학과 공예학과 공예학과 디자인학과 디자인학과 디자인학과 디자인학과 디자인학,10,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,일 이후에 본교가 주최하는 조형실기대회 및 산업통상자원부,15,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,공연예술학부 연극전공,20,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,공연예술학부 영화전공,13,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,공연예술학부 무용전공,26,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,미술학부 회화전공,10,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,재외국민과,56,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
