대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
금오공과대학교,경북,수시,학생부교과(학생부교과전형) - 학생부교과 100% ○ 462명,학생부교과,462,학생부교과(학생부교과전형) - 학생부교과 100%,,,
금오공과대학교,경북,수시,학생부교과(지역인재전형) - 학생부교과 100% ○ 202명,학생부교과,202,학생부교과(지역인재전형) - 학생부교과 100%,,,
금오공과대학교,경북,수시,학생부교과(지역인재전형) - 학생부교과 100% ○ 202명,내 학생부,222,학생부교과(지역인재전형) - 학생부교과 100%,,,
금오공과대학교,경북,수시,학생부교과(지역인재전형) - 학생부교과 100% ○ 202명,학생부,65,학생부교과(지역인재전형) - 학생부교과 100%,,,
금오공과대학교,경북,수시,수시 학생부교과(고른기회전형) - 학생부교과 100% × 40명,수시 학생부교과,40,학생부교과(고른기회전형) - 학생부교과 100%,,,
금오공과대학교,경북,수시,학생부교과(특수교육대상자전형) - 학생부교과 100% × 11명,학생부교과,11,학생부교과(특수교육대상자전형) - 학생부교과 100%,,,
금오공과대학교,경북,수시,학생부교과(특수교육대상자전형) - 학생부교과 100% × 11명,외 학생부교과,18,학생부교과(특성화고교출신자전형) - 학생부교과 100%,,,
금오공과대학교,경북,수시,학생부교과(특수교육대상자전형) - 학생부교과 100% × 11명,학생부교과,49,학생부교과(농어촌학생전형) - 학생부교과 100%,,,
금오공과대학교,경북,수시,학생부교과(특수교육대상자전형) - 학생부교과 100% × 11명,학생부교과,236,학생부교과(농어촌학생전형) - 학생부교과 100%,,,
금오공과대학교,경북,수시,내 - 학생부교과 100% × 5명,학생부교과,5,학생부교과 100%,,,
금오공과대학교,경북,수시,기간 외 - 학생부교과 100% × 15명,학생부교과,15,학생부교과 100%,,,
금오공과대학교,경북,수시,기간 외 - 학생부교과 100% × 15명,전형 외 학생부교과,15,학생부교과(만학도전형) - 학생부교과 100%,,,
금오공과대학교,경북,수시,기간 외 - 학생부교과 100% × 15명,학생부교과,340,학생부교과(만학도전형) - 학생부교과 100%,,,
금오공과대학교,경북,수시,수시 학생부교과 학생부교과전형 447명 학생부교과전형 462명 15명 증가,수시 학생부교과 학생부교과,447,학생부교과(만학도전형) - 학생부교과 100%,,,
금오공과대학교,경북,수시,수시 학생부교과 지역인재전형 211명 지역인재전형 202명 9명 감소,수시 학생부교과,211,학생부교과(만학도전형) - 학생부교과 100%,,,
금오공과대학교,경북,수시,수시 학생부교과 고른기회전형 40명 고른기회전형 40명 -,수시 학생부교과,40,학생부교과(만학도전형) - 학생부교과 100%,,,
금오공과대학교,경북,수시,수시 학생부교과 특수교육대상자전형(외) 12명 특수교육대상자전형(외) 11명 1명 감소,수시 학생부교과,12,학생부교과(만학도전형) - 학생부교과 100%,,,
금오공과대학교,경북,수시,수시 학생부교과 특수교육대상자전형(외) 12명 특수교육대상자전형(외) 11명 1명 감소,수시 학생부교과,18,학생부교과(만학도전형) - 학생부교과 100%,,,
금오공과대학교,경북,수시,수시 학생부교과 특수교육대상자전형(외) 12명 특수교육대상자전형(외) 11명 1명 감소,수시 학생부교과,49,학생부교과(만학도전형) - 학생부교과 100%,,,
금오공과대학교,경북,수시,수시 학생부교과 특수교육대상자전형(외) 12명 특수교육대상자전형(외) 11명 1명 감소,수시 학생부,229,학생부교과(만학도전형) - 학생부교과 100%,,,
금오공과대학교,경북,수시,수시 학생부교과 특수교육대상자전형(외) 12명 특수교육대상자전형(외) 11명 1명 감소,수시 학생부,60,학생부교과(만학도전형) - 학생부교과 100%,,,
금오공과대학교,경북,수시,자율 학생부교과 5명 5명 -,자율 학생부교과,5,학생부교과(만학도전형) - 학생부교과 100%,,,
금오공과대학교,경북,수시,자율 학생부교과 15명 15명 -,자율 학생부교과,15,학생부교과(만학도전형) - 학생부교과 100%,,,
금오공과대학교,경북,수시,자율 학생부교과 15명 15명 -,자율 학생부교과,15,학생부교과(만학도전형) - 학생부교과 100%,,,
금오공과대학교,경북,수시,【 학생부교과(학생부교과전형) 】,학생부교과,462,학생부교과(만학도전형) - 학생부교과 100%,,,
금오공과대학교,경북,수시,【 학생부교과(지역인재전형) 】,학생부교과,202,학생부교과(만학도전형) - 학생부교과 100%,,,
금오공과대학교,경북,수시,【 학생부교과(고른기회전형) 】,학생부교과,40,학생부교과(만학도전형) - 학생부교과 100%,,,
금오공과대학교,경북,수시,【 학생부교과(특수교육대상자전형) 】,학생부교과,11,학생부교과(만학도전형) - 학생부교과 100%,,,
금오공과대학교,경북,수시,학생부교과,학생부교과,18,학생부교과(만학도전형) - 학생부교과 100%,,,
금오공과대학교,경북,수시,학생부교과,학생부교과,49,학생부교과(만학도전형) - 학생부교과 100%,,,
금오공과대학교,경북,수시,학생부교과,학생부,222,학생부교과(만학도전형) - 학생부교과 100%,,,
금오공과대학교,경북,수시,학생부교과,학생부,65,학생부교과(만학도전형) - 학생부교과 100%,,,
금오공과대학교,경북,수시,학생부교과,학생부교과,15,학생부교과(만학도전형) - 학생부교과 100%,,,
금오공과대학교,경북,수시,학생부교과,학생부교과,15,학생부교과(만학도전형) - 학생부교과 100%,,,
금오공과대학교,경북,수시,나. 입학전형요소 성적(국내외고 학생부 교과성적) 고득점자 순으로 선발,를 초과,1,학생부교과(만학도전형) - 학생부교과 100%,,,
금오공과대학교,경북,수시,1) 1순위 : 국외고 학생부 교과성적 중 수학성적이 높은 자,국외고 학생부 교과,1,학생부교과(만학도전형) - 학생부교과 100%,,,
