대학명,지역,전형구분,군,학과명,모집인원,국어비율,수학비율,영어비율,탐구비율,한국사비율,과목별반영비율,비고
금오공과대학교,경북,정시,다군,학생부교과,462,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,학생부교과,202,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,학생부교과,40,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,학생부교과,11,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,학생부교과,18,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,학생부교과,49,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,학생부,222,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,학생부,65,,10%,,,,수학:10%,
금오공과대학교,경북,정시,가군,학교생활기록부,61,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,수시모집 학생부교과,72,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,학생부교과,5,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,학생부교과,15,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,학생부교과,15,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,국립금오공과,24,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,건축토목환경공학부,9,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,기계공학부,14,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,기계공학부,6,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,빅데이터공학부,7,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,재료공학부,10,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,고분자공학전공,24,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,전자공학부,14,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,컴퓨터공학부 인공지능공학전공,11,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,화학소재공학부 화학공학전공,7,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,광시스템공학과,2,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,바이오메디컬공학과,3,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,경영학과,2,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,고등학교 전 과,85,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,를 초과,1,,10%,,,,수학:10%,
금오공과대학교,경북,정시,다군,국외고 학생부 교과,1,,10%,,,,수학:10%,
