대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
대구가톨릭대학교,경북,수시,"학생부교과 교과전형 1,243명",학생부교과 교과,243,확인필요,,,
대구가톨릭대학교,경북,수시,학생부교과 지역교과전형 309명,학생부교과 지역교과,309,확인필요,,,
대구가톨릭대학교,경북,수시,학생부교과 지역의사선발전형(광역권) 5명,학생부교과,5,확인필요,,,
대구가톨릭대학교,경북,수시,학생부교과 지역의사선발전형(광역권) 5명,경북지역에 소재한 중학교에서 입학부터 졸업까지의 모든 교육과,5,확인필요,,,
대구가톨릭대학교,경북,수시,학생부교과 지역의사선발전형(광역권) 5명,학생부교과,64,확인필요,,,
대구가톨릭대학교,경북,수시,학생부교과 지역의사선발전형(광역권) 5명,학생부교과,28,확인필요,,,
대구가톨릭대학교,경북,수시,학생부교과 지역의사선발전형(광역권) 5명,학생부교과,7,확인필요,,,
대구가톨릭대학교,경북,수시,학생부교과 라이프융합전형 30명,학생부교과,30,확인필요,,,
대구가톨릭대학교,경북,수시,학생부교과 라이프융합전형 30명,학생부,359,확인필요,,,
대구가톨릭대학교,경북,수시,학생부교과 라이프융합전형 30명,학생부,49,확인필요,,,
대구가톨릭대학교,경북,수시,[지역인재전형 확인사항],학생부,11,확인필요,,,
대구가톨릭대학교,경북,수시,[지역인재전형 확인사항],경북지역에 소재한 중학교에서 입학부터 졸업까지의 모든 교육과,11,확인필요,,,
대구가톨릭대학교,경북,수시,[지역인재전형 확인사항],학생부,16,확인필요,,,
대구가톨릭대학교,경북,수시,[지역인재전형 확인사항],대구가톨릭대학,248,확인필요,,,
대구가톨릭대학교,경북,수시,[지역인재전형 확인사항],대구가톨릭대학,3,확인필요,,,
대구가톨릭대학교,경북,수시,[지역인재전형 확인사항],체육교육과,3,확인필요,,,
대구가톨릭대학교,경북,수시,[지역인재전형 확인사항],학생부교과,99,확인필요,,,
대구가톨릭대학교,경북,수시,[지역인재전형 확인사항],학생부교과,37,확인필요,,,
대구가톨릭대학교,경북,수시,학생부교과 성인학습자전형 215명,학생부교과,215,확인필요,,,
대구가톨릭대학교,경북,수시,학생부교과 성인학습자전형 215명,학생부교과,5,확인필요,,,
대구가톨릭대학교,경북,수시,학생부교과 성인학습자전형 215명,미래자동차부품공학과,5,확인필요,,,
대구가톨릭대학교,경북,수시,수능위주 일반전형 100명,학생부교과,100,확인필요,,,
대구가톨릭대학교,경북,수시,[지역인재전형 확인사항],대구가톨릭대학,12,확인필요,,,
