대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
대진대학교,경기,수시, 학생부교과(학생부우수자전형),사회계열,226,확인필요,,,
대진대학교,경기,수시, 학생부교과(종단추천자전형),대순종학과,14,확인필요,,,
대진대학교,경기,수시, 학생부교과(취업자전형),휴먼케어평생교육학과,4,확인필요,,,
대진대학교,경기,수시, 학생부교과(취업자전형),사회복지상담학과,2,확인필요,,,
대진대학교,경기,수시, 학생부교과(취업자전형),드론산업학과,2,확인필요,,,
대진대학교,경기,수시, 학생부교과(고른기회전형),사회계열,107,확인필요,,,
대진대학교,경기,수시, 학생부교과(밝은사회전형),자율전공학부,25,확인필요,,,
대진대학교,경기,수시, 학생부교과(학교장추천전형),인문사회계열,188,확인필요,,,
대진대학교,경기,수시,(학교장추천전형),사회계열,91,확인필요,,,
대진대학교,경기,수시,(학교장추천전형),사회계열,300,확인필요,,,
대진대학교,경기,수시,학생부교과 - 정원외,사회계열,57,확인필요,,,
대진대학교,경기,수시,학생부교과,사회계열,19,확인필요,,,
대진대학교,경기,수시,학생부교과,사회계열,19,확인필요,,,
대진대학교,경기,수시,학생부교과 전형요소별 반영비율 90% 10% 100%,휴먼케어평생교육학과,15,학생부교과 전형요소별 반영비율 90%,,,
대진대학교,경기,수시,학생부교과 전형요소별 반영비율 90% 10% 100%,사회복지상담학과,10,학생부교과 전형요소별 반영비율 90%,,,
대진대학교,경기,수시,학생부교과 전형요소별 반영비율 90% 10% 100%,드론산업학과,5,학생부교과 전형요소별 반영비율 90%,,,
대진대학교,경기,수시,학생부교과,미술만화게임학부,30,학생부교과 전형요소별 반영비율 90%,,,
대진대학교,경기,수시,학생부교과,시각디자인학과,20,학생부교과 전형요소별 반영비율 90%,,,
대진대학교,경기,수시,학생부교과,산업디자인학과,20,학생부교과 전형요소별 반영비율 90%,,,
대진대학교,경기,수시,학생부교과,영화영상학과,25,학생부교과 전형요소별 반영비율 90%,,,
대진대학교,경기,수시,학생부교과,연기예술학과,19,학생부교과 전형요소별 반영비율 90%,,,
대진대학교,경기,수시,학생부교과,실용음악학과,18,학생부교과 전형요소별 반영비율 90%,,,
대진대학교,경기,수시,학생부교과,보건과학대학 스포츠건강과학과,25,학생부교과 전형요소별 반영비율 90%,,,
