대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
동국대학교,서울,수시,[학생부교과] 학교장추천인재,학생부,894,확인필요,,,
동국대학교,서울,수시,[학생부교과] 학교장추천인재,학생부,108,확인필요,,,
동국대학교,서울,수시,[학생부교과] 학교장추천인재,학생부,18,확인필요,,,
동국대학교,서울,수시,[학생부교과] 학교장추천인재,학생부,8,확인필요,,,
동국대학교,서울,수시,[학생부교과] 학교장추천인재,모집단위 법학과 사회복지학과 경영대학,1,확인필요,,,
동국대학교,서울,수시,[학생부교과] 학교장추천인재,모집단위 정보통신공학과,1,확인필요,,,
동국대학교,서울,수시,학생부교과 학교장추천인재,학생부교과,470,확인필요,,,
동국대학교,서울,수시,1) 학생부교과 반영 방법 : 34~36쪽 참조,학생부교과,134,확인필요,,,
동국대학교,서울,수시,1) 학생부교과 반영방법 : 34~36쪽 참조,전형별 세부,291,확인필요,,,
동국대학교,서울,수시,1) 학생부교과 및 출결 반영방법 : 34~36쪽 참조,전형별 세부,174,교과 20%,,,
동국대학교,서울,수시,1) 학생부교과 및 출결 반영방법 : 34~36쪽 참조,문예창작학부 불교미술 한국화 서양화 실기형 특기형 문화학과,23,교과 20%,,,
