대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
동덕여자대학교,서울,수시,정원내 학생부교과 학생부교과우수자 특별전형 181명 196명 15명 감소,정원내 학생부교과 학생부교과,181,확인필요,,,
동덕여자대학교,서울,수시,정원내 학생부교과 학생부교과우수자 특별전형 181명 196명 15명 감소,학생부,84,확인필요,,,
동덕여자대학교,서울,수시,정원내 학생부교과 학생부교과우수자 특별전형 181명 196명 15명 감소,기타 재외국민과,30,확인필요,,,
동덕여자대학교,서울,수시,정원내 학생부교과 학생부교과우수자 특별전형 181명 196명 15명 감소,학생부,15,확인필요,,,
동덕여자대학교,서울,수시,정원내 학생부교과 학생부교과우수자 특별전형 181명 196명 15명 감소,정원외 학생부,569,확인필요,,,
동덕여자대학교,서울,수시,정원내 학생부교과 학생부교과우수자 특별전형 181명 196명 15명 감소,수시 재외국민과,1,확인필요,,,
동덕여자대학교,서울,수시,학생부교과우수자 3개 영역 3개 영역,국어국문학전공,2,확인필요,,,
동덕여자대학교,서울,수시,학생부교과우수자 3개 영역 3개 영역,국사학전공,2,확인필요,,,
동덕여자대학교,서울,수시,학생부교과우수자 3개 영역 3개 영역,문예창작전공,2,확인필요,,,
동덕여자대학교,서울,수시,학생부교과우수자 3개 영역 3개 영역,영어전공,3,확인필요,,,
동덕여자대학교,서울,수시,학생부교과우수자 3개 영역 3개 영역,글로벌 일어일본학전공,2,확인필요,,,
동덕여자대학교,서울,수시,학생부교과우수자 3개 영역 3개 영역,학부 유러피언스터디즈전공,3,확인필요,,,
동덕여자대학교,서울,수시,학생부교과우수자 3개 영역 3개 영역,중어중국학전공,3,확인필요,,,
동덕여자대학교,서울,수시,학생부교과우수자 3개 영역 3개 영역,문헌정보학전공,2,확인필요,,,
동덕여자대학교,서울,수시,학생부교과우수자 3개 영역 3개 영역,과학 사회복지학전공,2,확인필요,,,
동덕여자대학교,서울,수시,학생부교과우수자 3개 영역 3개 영역,아동학전공,3,확인필요,,,
동덕여자대학교,서울,수시,학생부교과우수자 3개 영역 3개 영역,경영대학 경영융합학부,9,확인필요,,,
동덕여자대학교,서울,수시,학생부교과우수자 3개 영역 3개 영역,식품영양학전공,2,확인필요,,,
동덕여자대학교,서울,수시,학생부교과우수자 3개 영역 3개 영역,보건관리학전공,2,확인필요,,,
동덕여자대학교,서울,수시,학생부교과우수자 3개 영역 3개 영역,자연 응용화학전공,2,확인필요,,,
동덕여자대학교,서울,수시,학생부교과우수자 3개 영역 3개 영역,화장품학전공,2,확인필요,,,
동덕여자대학교,서울,수시,학생부교과우수자 3개 영역 3개 영역,대학 체육학전공,3,확인필요,,,
동덕여자대학교,서울,수시,학생부교과우수자 3개 영역 3개 영역,정보 컴퓨터학전공,4,확인필요,,,
동덕여자대학교,서울,수시,학생부교과우수자 3개 영역 3개 영역,학부 정보통계학전공,2,확인필요,,,
동덕여자대학교,서울,수시,학생부교과우수자 3개 영역 3개 영역,회화전공,4,확인필요,,,
동덕여자대학교,서울,수시,학생부교과우수자 3개 영역 3개 영역,디지털공예전공,3,확인필요,,,
동덕여자대학교,서울,수시,학생부교과우수자 3개 영역 3개 영역,예술 큐레이터학전공,2,확인필요,,,
동덕여자대학교,서울,수시,학생부교과우수자 3개 영역 3개 영역,대학 피아노전공,2,확인필요,,,
동덕여자대학교,서울,수시,학생부교과우수자 3개 영역 3개 영역,관현악전공,2,확인필요,,,
동덕여자대학교,서울,수시,학생부교과우수자 3개 영역 3개 영역,성악전공,2,확인필요,,,
동덕여자대학교,서울,수시,학생부교과우수자 3개 영역 3개 영역,패션디자인전공,4,확인필요,,,
동덕여자대학교,서울,수시,학생부교과우수자 3개 영역 3개 영역,실내디자인전공,6,확인필요,,,
동덕여자대학교,서울,수시,학생부교과우수자 3개 영역 3개 영역,베이션 학부 미디어디자인전공,3,확인필요,,,
동덕여자대학교,서울,수시,학생부교과우수자 3개 영역 3개 영역,방송연예전공,3,확인필요,,,
동덕여자대학교,서울,수시,학생부교과우수자 3개 영역 3개 영역,실용음악전공,3,확인필요,,,
동덕여자대학교,서울,수시,학생부교과우수자 3개 영역 3개 영역,예술 예술 무용전공,3,확인필요,,,
동덕여자대학교,서울,수시,학생부교과우수자 3개 영역 3개 영역,모델전공,2,확인필요,,,
동덕여자대학교,서울,수시,학생부교과우수자 3개 영역 3개 영역,커뮤니케이션콘텐츠전공,2,확인필요,,,
동덕여자대학교,서울,수시,학생부교과우수자 3개 영역 3개 영역,HCI사이언스전공,2,확인필요,,,
동덕여자대학교,서울,수시,학생부교과우수자 3개 영역 3개 영역,지식 데이터사이언스전공,5,확인필요,,,
동덕여자대학교,서울,수시,학생부교과우수자 3개 영역 3개 영역,융합 문화예술경영전공,2,확인필요,,,
동덕여자대학교,서울,수시,학생부교과우수자 3개 영역 3개 영역,프러너리얼 글로벌MICE융합전공,2,확인필요,,,
동덕여자대학교,서울,수시,학생부교과우수자 3개 영역 3개 영역,앙트러프러너십전공,2,확인필요,,,
동덕여자대학교,서울,수시,전형형태 선발인원 구 분 학생부교과 계,실용음악전공,8,확인필요,,,
동덕여자대학교,서울,수시,전형형태 선발인원 구 분 학생부교과 계,재외국민과,30,확인필요,,,
