대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
동서대학교,부산,수시,일반계교과 전형 621명 학생부교과 100%,일반계교과,621,학생부교과 100%,,,
동서대학교,부산,수시,고교생활우수자 전형 272명 학생부교과 80% + 출결 20%,명 학생부교과,272,학생부교과 80%,,,
동서대학교,부산,수시,학생부 학생부교과 62.5% + 면접 37.5%,학생부,234,학생부교과 80%,,,
동서대학교,부산,수시,특성화교과 전형 196명 학생부교과 100%,특성화교과,196,학생부교과 100%,,,
동서대학교,부산,수시,사회기여배려자 전형 60명 학생부교과 100%,명 학생부교과,60,학생부교과 100%,,,
동서대학교,부산,수시,사회기여배려자 전형 60명 학생부교과 100%,학생부,180,학생부교과 100%,,,
동서대학교,부산,수시,사회기여배려자 전형 60명 학생부교과 100%,학생부교과,354,학생부교과 100%,,,
동서대학교,부산,수시,실적 학생부교과 9.1% + 실적 90.9%,실적 학생부교과,10,학생부교과 20%,,,
동서대학교,부산,수시,평생학습자 전형 80명 학생부교과 100%,명 학생부교과,80,학생부교과 100%,,,
동서대학교,부산,수시,평생학습자 전형 80명 학생부교과 100%,명 학생부교과,45,학생부교과 100%,,,
동서대학교,부산,수시,︻ 특성화동일계출신자 전형 30명 학생부교과 100%,명 학생부교과,30,학생부교과 100%,,,
동서대학교,부산,수시,고른기회 전형 38명 학생부교과 100%,명 학생부교과,38,학생부교과 100%,,,
동서대학교,부산,수시,성인학습자 전형 72명 학생부교과 100%,명 학생부교과,72,학생부교과 100%,,,
동서대학교,부산,수시,성인학습자 전형 72명 학생부교과 100%,명 학생부교과,18,학생부교과 100%,,,
동서대학교,부산,수시,재외국민과외국인 전형 5명 학생부교과 100%,재외국민과,5,학생부교과 100%,,,
동서대학교,부산,수시,학생부교과 - 일반계교과 전형,학생부교과,621,학생부교과 90%,,,
동서대학교,부산,수시,학생부교과 – 고교생활우수자 전형,학생부교과,272,학생부교과 100%,,,
동서대학교,부산,수시,학생부교과 – 학생부면접 전형,학생부교과,234,학생부교과 80%,,,
동서대학교,부산,수시,학생부교과 – 특성화교과 전형,학생부교과,196,학생부교과 80%,,,
동서대학교,부산,수시,학생부교과 – 사회기여배려자 전형,학생부교과,60,학생부교과 100%,,,
동서대학교,부산,수시,□ 전형 반영방법 : 학생부교과 100%,학생부,180,학생부교과 100%,,,
동서대학교,부산,수시,□ 전형 반영방법 : 학생부교과 100%,청소년 생활기록부 또는 학교생활기록부,354,학생부교과 100%,,,
동서대학교,부산,수시,□ 전형 반영방법 : 학생부교과 100%,학교생활기록부,10,학생부교과 100%,,,
동서대학교,부산,수시,학생부교과 – 평생학습자 전형,학생부교과,80,학생부교과 100%,,,
동서대학교,부산,수시,□ 전형 반영방법 : 학생부교과 100%,학생부교과,45,학생부교과 100%,,,
동서대학교,부산,수시,학생부교과 – 특성화동일계출신자 전형,학생부교과,30,학생부교과 100%,,,
동서대학교,부산,수시,학생부교과 – 고른기회 전형,학생부교과,38,학생부교과 100%,,,
동서대학교,부산,수시,학생부교과 – 성인학습자 전형,미래커리어대학,72,학생부교과 100%,,,
동서대학교,부산,수시,□ 전형 반영방법 : 학생부교과 100%,학생부교과,18,학생부교과 100%,,,
동서대학교,부산,수시,□ 전형 반영방법 : 학생부교과 100%,농지원부,5,학생부교과 100%,,,
