대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
동의대학교,부산,수시,학생부교과(조기취업형계약학과전형)-정원 외 75(1.9%) [ 5배수 ] X,명 초과,10,확인필요,,,
동의대학교,부산,수시,1)-① [학생부교과] - 학생부교과(일반고교과전형),학생부교과,032,학생부교과 30%,,,
동의대학교,부산,수시,1)-② [학생부교과] - 학생부교과(지역인재교과전형),학생부교과,18,학생부 교과 90%,,,
동의대학교,부산,수시,1)-③ [학생부교과] - 학생부교과(지역인재교과(저소득층)전형),학생부교과,1,학생부 교과 90%,,,
동의대학교,부산,수시,∙학생부 교과 성적 반영 방법은 ‘5. 수시모집 학생부 교과 성적 반영방법’ 참조,학생부교과,230,학생부 교과 90%,,,
동의대학교,부산,수시,∙학생부 교과 성적 반영 방법은 ‘5. 수시모집 학생부 교과 성적 반영방법’ 참조,학생부교과,140,학생부 교과 90%,,,
동의대학교,부산,수시,∙학생부 교과 성적 반영 방법은 ‘5. 수시모집 학생부 교과 성적 반영방법’ 참조,학생부교과,141,학생부 교과 90%,,,
동의대학교,부산,수시,∙학생부 교과 성적 반영 방법은 ‘5. 수시모집 학생부 교과 성적 반영방법’ 참조,학생부교과,53,학생부 교과 90%,,,
동의대학교,부산,수시,1)-⑧ [학생부교과] - 학생부교과(조기취업형계약학과전형) - <정원 외>,학생부교과,75,학생부 교과 90%,,,
동의대학교,부산,수시,∙학생부 교과 성적 반영 방법은 ‘5. 수시모집 학생부 교과 성적 반영방법’ 참조,학생부,1,학생부 교과 100%,,,
동의대학교,부산,수시,∙학생부 교과 성적 반영 방법은 ‘5. 수시모집 학생부 교과 성적 반영방법’ 참조,학생부,402,학생부 교과 100%,,,
동의대학교,부산,수시,∙학생부 교과 성적 반영 방법은 ‘5. 수시모집 학생부 교과 성적 반영방법’ 참조,명 초과,10,학생부 교과 100%,,,
동의대학교,부산,수시,∙학생부 교과 성적 반영 방법은 ‘5. 수시모집 학생부 교과 성적 반영방법’ 참조,학생부,1,학생부 교과 100%,,,
동의대학교,부산,수시,∙학생부 교과 성적 반영 방법은 ‘5. 수시모집 학생부 교과 성적 반영방법’ 참조,학생부,433,학생부 교과 100%,,,
동의대학교,부산,수시,∙학생부 교과 성적 반영 방법은 ‘5. 수시모집 학생부 교과 성적 반영방법’ 참조,학생부,60,학생부 교과 100%,,,
동의대학교,부산,수시,∙학생부 교과 성적 반영 방법은 ‘5. 수시모집 학생부 교과 성적 반영방법’ 참조,고교 학교생활기록부,145,학생부 교과 100%,,,
동의대학교,부산,수시,∙학생부 교과 성적 반영 방법은 ‘5. 수시모집 학생부 교과 성적 반영방법’ 참조,고교 학교생활기록부,41,학생부 교과 18%,,,
동의대학교,부산,수시,∙학생부 교과 성적 반영 방법은 ‘5. 수시모집 학생부 교과 성적 반영방법’ 참조,고교 학교생활기록부,20,학생부 교과 18%,,,
동의대학교,부산,수시,∙학생부 교과 성적 반영 방법은 ‘5. 수시모집 학생부 교과 성적 반영방법’ 참조,수험생의 고교 생활 중 개인의 입장과 경험을 바탕으로 운동선수로서의 역량과,1,학생부 교과 18%,,,
동의대학교,부산,수시,③ <나>군 학생부교과(조기취업형계약학과전형) - <정원 외>,학생부,3,학생부 교과 18%,,,
