대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
명지대학교,서울,수시,학생부교과 소계 951,전기전자공학부,77,확인필요,,,
명지대학교,서울,수시,학생부교과 소계 951,전기정보공학전공,32,확인필요,,,
명지대학교,서울,수시,학생부교과 소계 951,전자공학전공,45,확인필요,,,
명지대학교,서울,수시,학생부교과 소계 951,뮤지컬공연전공,349,확인필요,,,
명지대학교,서울,수시,학생부교과 소계 951,학생부,25,확인필요,,,
명지대학교,서울,수시,학생부교과 소계 951,학생부,392,확인필요,,,
명지대학교,서울,수시,학생부교과 소계 951,예술학부,7,확인필요,,,
명지대학교,서울,수시,학생부교과 소계 951,수시 학생부교과,12,확인필요,,,
명지대학교,서울,수시,2. 학생부교과(교과면접전형),명의 면접위원과,3,확인필요,,,
명지대학교,서울,수시,2. 학생부교과(교과면접전형),명의 면접위원과,3,확인필요,,,
명지대학교,서울,수시,2. 학생부교과(교과면접전형),명의 면접위원과,3,확인필요,,,
명지대학교,서울,수시,7. 학생부교과(특수교육대상자전형),명의 면접위원과,3,확인필요,,,
명지대학교,서울,수시,7. 학생부교과(특수교육대상자전형),명의 면접위원과,2,확인필요,,,
명지대학교,서울,수시,7. 학생부교과(특수교육대상자전형),명의 면접위원과,2,확인필요,,,
명지대학교,서울,수시,7. 학생부교과(특수교육대상자전형),명의 면접위원과,3,확인필요,,,
명지대학교,서울,수시,(일반전형) 인문사회계열(경영대학) - 900점,명의 면접위원과,3,확인필요,,,
