대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
부산대학교,부산,수시,- 학생부교과(탐구전형) : 모집계열 관련 특정 영역에서 우수한 잠재력을 지닌 인재 선발,수시모집 학생부,38,확인필요,,,
부산대학교,부산,수시,학생부교과(교과우수전형),학생부교과,062,학생부 교과20%,,,
부산대학교,부산,수시,학생부교과(교과지역전형),학생부교과,447,학생부 교과20%,,,
부산대학교,부산,수시,- 학생부 교과 성적 반영방법 : p.25 참고,학생부교과,134,학생부 교과20%,,,
부산대학교,부산,수시,학생부교과(지역저소득층학생전형),학생부교과,10,학생부 교과20%,,,
부산대학교,부산,수시,학생부교과(탐구전형),모집계열,308,학생부 교과20%,,,
부산대학교,부산,수시,학생부 교과 교과역량면접,학생부 교과 교과,10,학생부 교과20%,,,
부산대학교,부산,수시,가. 학생부 교과 반영 방법(2022 개정 교육과정 이수자),학생부 교과,20,학생부 교과20%,,,
부산대학교,부산,수시,- 1단계(학생부 교과) 성적을 60점으로 환산한 성적과 교과역량면접 성적 40점을 합산함,학생부,463,학생부 교과20%,,,
부산대학교,부산,수시,- 1단계(학생부 교과) 성적을 60점으로 환산한 성적과 교과역량면접 성적 40점을 합산함,학생부,569,학생부 교과20%,,,
부산대학교,부산,수시,- 1단계(학생부 교과) 성적을 60점으로 환산한 성적과 교과역량면접 성적 40점을 합산함,학생부,131,학생부 교과20%,,,
부산대학교,부산,수시,- 1단계(학생부 교과) 성적을 60점으로 환산한 성적과 교과역량면접 성적 40점을 합산함,학생부,38,학생부 교과20%,,,
부산대학교,부산,수시,2027년 2월 이전 졸업자(2015 개정 교육과정 이수자) 등의 학생부 교과 성적 산출방법은 추후 수시모집요강을 통해 공지함,개정 교육과,382,학생부 교과20%,,,
