대학명,지역,전형구분,군,학과명,모집인원,국어비율,수학비율,영어비율,탐구비율,한국사비율,과목별반영비율,비고
부산대학교,부산,정시,가군,학생부,463,,,,40%,,탐구:40%,
부산대학교,부산,정시,가군,학생부,569,,,,40%,,탐구:40%,
부산대학교,부산,정시,가군,학생부,131,,,,50%,,탐구:50%,
부산대학교,부산,정시,가군,학생부,38,,,,50%,,탐구:50%,
부산대학교,부산,정시,가군,학생부,150,,,,50%,,탐구:50%,
부산대학교,부산,정시,가군,학생부,87,,,,40%,,탐구:40%,
부산대학교,부산,정시,가군,특수교육대상자전형은 단과,1,,,,40%,,탐구:40%,
부산대학교,부산,정시,가군,학생부,197,,,,40%,,탐구:40%,
부산대학교,부산,정시,가군,무용학과,8,,,,40%,,탐구:40%,
부산대학교,부산,정시,가군,개정 교육과,382,,,,40%,,탐구:40%,
부산대학교,부산,정시,가군,인원으로 인해 정시모집으로 이월된 경우 각 모집단위별 실기 내용은 수시모집과,61,,,,40%,,탐구:40%,
