대학명,지역,전형구분,군,학과명,모집인원,국어비율,수학비율,영어비율,탐구비율,한국사비율,과목별반영비율,비고
상명대학교,서울,정시,나군,학생부교과,349,,10%,,5%,,수학:10% | 탐구:5%,
상명대학교,서울,정시,나군,학생부,155,,10%,,5%,,수학:10% | 탐구:5%,
상명대학교,서울,정시,나군,학생부,70,,10%,,5%,,수학:10% | 탐구:5%,
상명대학교,서울,정시,나군,학생부,144,,10%,,5%,,수학:10% | 탐구:5%,
상명대학교,서울,정시,나군,고등학교를 졸업하거나 평생교육시설의 교육과,5,,10%,,5%,,수학:10% | 탐구:5%,
상명대학교,서울,정시,나군,모집계열 모집단위 모집인원 모집계열,98,,10%,,5%,,수학:10% | 탐구:5%,
상명대학교,서울,정시,나군,학교생활기록부 교과,138,,10%,,5%,,수학:10% | 탐구:5%,
상명대학교,서울,정시,나군,학생부교과,6,,10%,,5%,,수학:10% | 탐구:5%,
상명대학교,서울,정시,나군,학생부,7,,10%,,5%,,수학:10% | 탐구:5%,
상명대학교,서울,정시,나군,고사시행 안내 등 세부,491,,10%,,5%,,수학:10% | 탐구:5%,
상명대학교,서울,정시,나군,모집단위별 실기고사 세부,52,,10%,,5%,,수학:10% | 탐구:5%,
상명대학교,서울,정시,나군,부모의 거주는 각각의 주민등록상 거주기록과,20,,10%,,5%,,수학:10% | 탐구:5%,
상명대학교,서울,정시,나군,고등학교를 졸업하거나 평생교육시설의 교육과,5,,10%,,5%,,수학:10% | 탐구:5%,
