대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
서강대학교,서울,수시,1 수시 학생부교과(지역균형) 교과 반영점수 산출방법 28,학년도 대학,046,확인필요,,,
서강대학교,서울,수시,⑴ 학생부교과(지역균형) 추천인원 제한 폐지,학생부교과,20,확인필요,,,
서강대학교,서울,수시,학생부교과 지역균형 180명 ○ 교과(정량) 90% + 출결(정량) 10%,학생부교과,180,확인필요,,,
서강대학교,서울,수시,학생부교과 지역균형 180명 ○ 교과(정량) 90% + 출결(정량) 10%,학생부,85,확인필요,,,
서강대학교,서울,수시,학생부교과 지역균형 180명 ○ 교과(정량) 90% + 출결(정량) 10%,모집구분 전형 계열,8,확인필요,,,
서강대학교,서울,수시,1. 학생부교과(지역균형) : 180명,학생부교과,180,확인필요,,,
서강대학교,서울,수시,③ 학생부 교과(군)별 석차등급 평균 상위자 ( 수학 → 국어 → 영어 / 교과순으로 반영 ),학생부,497,교과 90%,,,
서강대학교,서울,수시,③ 학생부 교과(군)별 석차등급 평균 상위자 ( 수학 → 국어 → 영어 / 교과순으로 반영 ),학생부,85,교과 90%,,,
서강대학교,서울,수시,③ 학생부 교과(군)별 석차등급 평균 상위자 ( 수학 → 국어 → 영어 / 교과순으로 반영 ),학생부,34,교과 90%,,,
서강대학교,서울,수시,③ 학생부 교과(군)별 석차등급 평균 상위자 ( 수학 → 국어 → 영어 / 교과순으로 반영 ),구분 세부,1,교과 90%,,,
서강대학교,서울,수시,③ 학생부 교과(군)별 석차등급 평균 상위자 ( 수학 → 국어 → 영어 / 교과순으로 반영 ),학생부,6,교과 90%,,,
서강대학교,서울,수시,③ 학생부 교과(군)별 석차등급 평균 상위자 ( 수학 → 국어 → 영어 / 교과순으로 반영 ),동일계열 교과,170,교과 90%,,,
