대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
서울대학교,서울,수시,"2) 인문대학의 수시모집 일반전형 전 모집단위, 수시모집 지역균형전형 및 정시모집 일반전형 역사학부는 전공예약으로 선발하며,",농업생명과학대학에 지원하는 농생명계열,4,확인필요,,,
서울대학교,서울,수시,일반전형 일반전형,성악과,1,확인필요,,,
서울대학교,서울,수시,일반전형 일반전형,작곡과,1,확인필요,,,
서울대학교,서울,수시,일반전형 일반전형,음악학과,8,확인필요,,,
서울대학교,서울,수시,일반전형 일반전형,피아노과,24,확인필요,,,
서울대학교,서울,수시,일반전형 일반전형,관현악과,1,확인필요,,,
서울대학교,서울,수시,일반전형 일반전형,국악과,3,확인필요,,,
서울대학교,서울,수시,일반전형 일반전형,미선발 인원 발생 시 동일전형 해당 모집단위 내 타 세부 전공,3,확인필요,,,
서울대학교,서울,수시,일반전형에서 선발함,성악과,1,확인필요,,,
서울대학교,서울,수시,일반전형에서 선발함,학생부,3,확인필요,,,
서울대학교,서울,수시,▪ 수시모집 일반전형 수능 최저학력기준,실기평가 세부,1,확인필요,,,
서울대학교,서울,수시,"▪ 수시모집 일반전형(음악대학 피아노과, 관현악과) 수능 최저학력기준",되어 있는 경우의 일반 교육과,4,확인필요,,,
서울대학교,서울,수시,정시모집 ‘나’군 일반전형,명의 평가자가 독립적으로 평가하여 등급을 부,2,확인필요,,,
서울대학교,서울,수시,정시모집 ‘나’군 일반전형,명의 평가자가 독립적으로 평가하여 등급을 부,2,확인필요,,,
