대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
서울시립대학교,서울,수시,학생부교과 ○ 학생부교과 80% + 교과 정성평가 20%,학생부교과,20,학생부교과 ○ 학생부교과 80%,,,
서울시립대학교,서울,수시,- 학생부 교과영역 및 출결을 중심으로 학업역량과 성실성을 평가,학교생활기록부에 기재된 학교폭력 조치사항 등에 대하여 감점 등의 불이익을 부,424,학생부교과: 60%,,,
서울시립대학교,서울,수시,- 학생부 교과영역 및 출결을 중심으로 학업역량과 성실성을 평가,동일계열 교과,132,학생부교과: 60%,,,
서울시립대학교,서울,수시,- 학생부 교과영역 및 출결을 중심으로 학업역량과 성실성을 평가,보건복지부장관으로부,46,학생부교과: 60%,,,
서울시립대학교,서울,수시,- 학생부 교과영역 및 출결을 중심으로 학업역량과 성실성을 평가,실기과,37,학생부 교과 10%,,,
서울시립대학교,서울,수시,(674명) - 일괄합산 : 수능 80% + 학생부교과 18% + 출결 2%,학생부교과,674,학생부교과 18%,,,
서울시립대학교,서울,수시,(674명) - 일괄합산 : 수능 80% + 학생부교과 18% + 출결 2%,실기과,57,학생부 교과 10%,,,
서울시립대학교,서울,수시,(674명) - 일괄합산 : 수능 80% + 학생부교과 18% + 출결 2%,실기고사 과,34,학생부 교과 10%,,,
서울시립대학교,서울,수시,(674명) - 일괄합산 : 수능 80% + 학생부교과 18% + 출결 2%,계열별 대학수학능력시험 반영영역 및 지정과,25,학생부 교과 10%,,,
서울시립대학교,서울,수시,(674명) - 일괄합산 : 수능 80% + 학생부교과 18% + 출결 2%,계열별 대학수학능력시험 반영영역 및 지정과,102,학생부 교과 10%,,,
서울시립대학교,서울,수시,(674명) - 일괄합산 : 수능 80% + 학생부교과 18% + 출결 2%,계열별 대학수학능력시험 반영영역 및 지정과,10,학생부 교과 10%,,,
서울시립대학교,서울,수시,- 일괄합산 : 수능 80% + 학생부교과 18% + 출결 2%,학교생활기록부에 기재된 학교폭력 조치사항 등에 대하여 감점 등의 불이익을 부,86,학생부교과 18%,,,
서울시립대학교,서울,수시,- 일괄합산 : 수능 80% + 학생부교과 18% + 출결 2%,학생부,346,학생부교과 18%,,,
서울시립대학교,서울,수시,- 학생부 교과영역 및 출결상황을 중심으로 학업역량과 성실성을 평가함,학생부,424,학생부교과 18%,,,
서울시립대학교,서울,수시,- 학생부 교과영역 및 출결상황을 중심으로 학업역량과 성실성을 평가함,학생부,132,학생부교과 18%,,,
서울시립대학교,서울,수시,- 학생부 교과영역 및 출결상황을 중심으로 학업역량과 성실성을 평가함,학생부,46,학생부교과 18%,,,
서울시립대학교,서울,수시,- 학생부 교과영역 및 출결상황을 중심으로 학업역량과 성실성을 평가함,학교생활기록부,37,학생부교과 18%,,,
서울시립대학교,서울,수시,- 학생부 교과영역 및 출결상황을 중심으로 학업역량과 성실성을 평가함,음악학과,8,학생부교과 18%,,,
서울시립대학교,서울,수시,- 학생부 교과영역 및 출결상황을 중심으로 학업역량과 성실성을 평가함,디자인학과,14,학생부교과 18%,,,
서울시립대학교,서울,수시,1. [수능위주](인문·자연계열)일반전형(가/나군) : 644명,자연계열,644,학생부교과 18%,,,
서울시립대학교,서울,수시,[수능위주](스포츠과학과)일반전형(나군) : 30명,스포츠과학과,30,학생부교과 18%,,,
서울시립대학교,서울,수시,[수능위주](스포츠과학과)일반전형(나군) : 30명,디자인학과,57,학생부교과 18%,,,
