대학명,지역,전형구분,군,학과명,모집인원,국어비율,수학비율,영어비율,탐구비율,한국사비율,과목별반영비율,비고
서울시립대학교,서울,정시,,학생부교과,20,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,학교생활기록부에 기재된 학교폭력 조치사항 등에 대하여 감점 등의 불이익을 부,86,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,학교생활기록부에 기재된 학교폭력 조치사항 등에 대하여 감점 등의 불이익을 부,346,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,학교생활기록부에 기재된 학교폭력 조치사항 등에 대하여 감점 등의 불이익을 부,424,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,동일계열 교과,132,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,보건복지부장관으로부,46,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,실기과,37,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,학생부교과,674,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,실기과,57,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,실기고사 과,34,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,계열별 대학수학능력시험 반영영역 및 지정과,25,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,계열별 대학수학능력시험 반영영역 및 지정과,102,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,계열별 대학수학능력시험 반영영역 및 지정과,10,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,학교생활기록부에 기재된 학교폭력 조치사항 등에 대하여 감점 등의 불이익을 부,86,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,학생부,346,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,학생부,424,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,학생부,132,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,학생부,46,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,학교생활기록부,37,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,음악학과,8,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,디자인학과,14,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,자연계열,644,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,스포츠과학과,30,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,디자인학과,57,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,자연계열,102,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,년 전 과,34,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,계열별 대학수학능력시험 반영영역 및 지정과,25,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,계열별 대학수학능력시험 반영영역 및 지정과,33,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,계열별 대학수학능력시험 반영영역 및 지정과,10,,,,3%,,탐구:3%,
