대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
성균관대,서울,수시,일반전형(수능위주) [특화형],학생부종합 학생부교과,487,확인필요,,,
성균관대,서울,수시,다. 학생부교과(추천인재) 지원자격 및 선발방법 변경,학생부교과,144,확인필요,,,
성균관대,서울,수시,구분 성균인재-일반 성균인재-지역인재,선발권역 제한 없음 의정부,20,확인필요,,,
성균관대,서울,수시,3) 수시모집 성균인재전형 의예과 선발인원은 일반형(20명)과 지역인재전형(4명)을 모두 포함함,예체능특기자전형 모집단위 중 스포츠과학과,20,확인필요,,,
성균관대,서울,수시,2) 수시모집 성균인재전형 의예과 선발인원은 일반형(20명)과 지역인재전형(4명)을 모두 포함함,상기 모집인원은 우리대학 학생정원조정 결과,20,확인필요,,,
성균관대,서울,수시,학생부교과 [추천인재],학생부교과,415,확인필요,,,
성균관대,서울,수시,나. 학생부 교과(군)별 학업성적 상위자(수학 > 국어 > 사회/과학 > 영어),학년도 성균관대학,21,확인필요,,,
성균관대,서울,수시,나. 학생부 교과(군)별 학업성적 상위자(수학 > 국어 > 사회/과학 > 영어),스포츠과학과,16,확인필요,,,
성균관대,서울,수시,나. 학생부 교과(군)별 학업성적 상위자(수학 > 국어 > 사회/과학 > 영어),구분 세부,14,확인필요,,,
성균관대,서울,수시,나. 학생부 교과(군)별 학업성적 상위자(수학 > 국어 > 사회/과학 > 영어),영상학과,5,확인필요,,,
성균관대,서울,수시,일반전형(수능위주) [일반형],학년도 성균관대학,307,확인필요,,,
성균관대,서울,수시,일반전형(수능위주) [특화형],스포츠과학과,150,확인필요,,,
