대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
성신여자대학교,서울,수시,"*** 학생부교과 무전공 선발인원(총 126명, 지역균형II는 전공 선발 없음)",학생부교과 무전공,126,확인필요,,,
성신여자대학교,서울,수시,"*** 학생부교과 무전공 선발인원(총 126명, 지역균형II는 전공 선발 없음)",창의융합학부,39,확인필요,,,
성신여자대학교,서울,수시,"*** 학생부교과 무전공 선발인원(총 126명, 지역균형II는 전공 선발 없음)",창의융합학부,15,확인필요,,,
성신여자대학교,서울,수시,"*** 학생부교과 무전공 선발인원(총 126명, 지역균형II는 전공 선발 없음)",경영학전공,70,확인필요,,,
성신여자대학교,서울,수시,"*** 학생부교과 무전공 선발인원(총 126명, 지역균형II는 전공 선발 없음)",세무회계전공,43,확인필요,,,
성신여자대학교,서울,수시,"*** 학생부교과 무전공 선발인원(총 126명, 지역균형II는 전공 선발 없음)",국어국문학과,5,확인필요,,,
성신여자대학교,서울,수시,"*** 학생부교과 무전공 선발인원(총 126명, 지역균형II는 전공 선발 없음)",정치외교학과,10,확인필요,,,
성신여자대학교,서울,수시,"*** 학생부교과 무전공 선발인원(총 126명, 지역균형II는 전공 선발 없음)",명 교육학과,5,확인필요,,,
성신여자대학교,서울,수시,"■ 학생부교과(지역균형 I, II 전형)",학생부교과,20,확인필요,,,
성신여자대학교,서울,수시,"학생부교과 지역균형I, 지역균형II w 교과성적 90% + 출석성적 10%",명인 과,1,"학생부교과 지역균형I, 지역균형II w 교과성적 90%",,,
성신여자대학교,서울,수시,4. 학생부교과(지역균형 II) 전형 학생부 반영방법(졸업자),명인 과,1,"학생부교과 지역균형I, 지역균형II w 교과성적 90%",,,
