대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
세명대학교,충북,수시,2 [학생부교과] 인문계고교전형,학생부교과,236,학생부교과 전 체 100%,,,
세명대학교,충북,수시,학생부 교과성적,학생부교과,27,학생부 교과성적 100%,,,
세명대학교,충북,수시,4 [학생부교과] 지역인재(일반)전형,학생부교과,95,학생부 교과성적 100%,,,
세명대학교,충북,수시,학생부 교과성적,학생부교과,4,학생부 교과성적 100%,,,
세명대학교,충북,수시,"∙ 한의예과[인문계고교전형, 지역인재(일반)전형]",학생부교과,41,학생부 교과성적 100%,,,
세명대학교,충북,수시,7 [학생부교과] 면접우수자전형,학생부교과,93,학생부 교과성적 100%,,,
세명대학교,충북,수시,학생부 교과성적,학생부,31,학생부 교과성적 100%,,,
세명대학교,충북,수시,학생부 교과성적,학생부교과,35,학생부 교과성적 100%,,,
세명대학교,충북,수시,학생부 교과성적,학생부교과,10,학생부 교과성적 100%,,,
세명대학교,충북,수시,학생부 교과성적,학생부교과,35,학생부 교과성적 100%,,,
