대학명,지역,전형구분,군,학과명,모집인원,국어비율,수학비율,영어비율,탐구비율,한국사비율,과목별반영비율,비고
세명대학교,충북,정시,다군,간호학과,2,30%,40%,,5%,,국어:30% | 수학:40% | 탐구:5%,
세명대학교,충북,정시,나군,학생부교과,847,30%,5%,10%,15%,,국어:30% | 수학:5% | 영어:10% | 탐구:15%,
세명대학교,충북,정시,나군,학생부교과,236,30%,5%,10%,15%,,국어:30% | 수학:5% | 영어:10% | 탐구:15%,
세명대학교,충북,정시,나군,학생부교과,27,30%,5%,10%,15%,,국어:30% | 수학:5% | 영어:10% | 탐구:15%,
세명대학교,충북,정시,나군,학생부교과,95,30%,5%,10%,15%,,국어:30% | 수학:5% | 영어:10% | 탐구:15%,
세명대학교,충북,정시,나군,학생부교과,4,30%,5%,10%,15%,,국어:30% | 수학:5% | 영어:10% | 탐구:15%,
세명대학교,충북,정시,나군,학생부교과,41,30%,5%,10%,15%,,국어:30% | 수학:5% | 영어:10% | 탐구:15%,
세명대학교,충북,정시,나군,학생부교과,93,30%,5%,10%,15%,,국어:30% | 수학:5% | 영어:10% | 탐구:15%,
세명대학교,충북,정시,나군,학생부,31,30%,5%,10%,15%,,국어:30% | 수학:5% | 영어:10% | 탐구:15%,
세명대학교,충북,정시,나군,학생부교과,35,30%,5%,10%,15%,,국어:30% | 수학:5% | 영어:10% | 탐구:15%,
세명대학교,충북,정시,나군,학생부교과,10,30%,5%,10%,15%,,국어:30% | 수학:5% | 영어:10% | 탐구:15%,
세명대학교,충북,정시,나군,학생부교과,35,30%,5%,10%,15%,,국어:30% | 수학:5% | 영어:10% | 탐구:15%,
세명대학교,충북,정시,나군,의 학생부 교과,66,30%,5%,10%,15%,,국어:30% | 수학:5% | 영어:10% | 탐구:15%,
세명대학교,충북,정시,나군,특성화고교졸업자전형의 경우 동일 계열 인정 전문교과,1,30%,5%,10%,15%,,국어:30% | 수학:5% | 영어:10% | 탐구:15%,
