대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
숭실대학교,서울,수시,6. 학생부교과(교과우수자전형),학생부,538,학생부 교과(정량) 100%,,,
숭실대학교,서울,수시,6. 학생부교과(교과우수자전형),학생부,166,학생부 교과(정량) 100%,,,
숭실대학교,서울,수시,6. 학생부교과(교과우수자전형),학생부,130,학생부 교과(정량) 100%,,,
숭실대학교,서울,수시,6. 학생부교과(교과우수자전형),학생부,17,학생부 교과(정량) 100%,,,
숭실대학교,서울,수시,6. 학생부교과(교과우수자전형),학생부,38,학생부 교과(정량) 100%,,,
숭실대학교,서울,수시,6. 학생부교과(교과우수자전형),학생부교과,462,학생부 교과(정량) 100%,,,
숭실대학교,서울,수시,1) 학생부 교과(정량) 평가방법,호 대상자는 부,240,학생부 교과(정량) 100%,,,
숭실대학교,서울,수시,2) 학생부 교과성적 반영방법,호 대상자는 부,10,학생부 교과(정량) 100%,,,
숭실대학교,서울,수시,"3학기 이상의 고교과정을 이수하고 본교 학생부 교과성적 산출방식에 의해 성적 산출이 가능하며, 고등",학기 이상의 고교과정을 이수하고 본교 학생부 교과,16,학생부 교과(정량) 100%,,,
숭실대학교,서울,수시,"일반전형 420명 321명 425명 1,166명",호 대상자는 부,420,학생부 교과(정량) 100%,,,
숭실대학교,서울,수시,"일반전형 420명 321명 425명 1,166명",예술창작학부 문예창작전공,20,학생부 교과(정량) 100%,,,
숭실대학교,서울,수시,"일반전형 420명 321명 425명 1,166명",스포츠학부,36,학생부 교과(정량) 100%,,,
숭실대학교,서울,수시,"일반전형 420명 321명 425명 1,166명",호 대상자는 부,48,학생부 교과(정량) 100%,,,
숭실대학교,서울,수시,"일반전형 420명 321명 425명 1,166명",학년도 대학,15,학생부 교과(정량) 100%,,,
숭실대학교,서울,수시,"일반전형 420명 321명 425명 1,166명",호 대상자는 부,147,학생부 교과(정량) 100%,,,
숭실대학교,서울,수시,"일반전형 420명 321명 425명 1,166명",고교과,53,학생부 교과(정량) 100%,,,
