대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
신한대학교,경기,수시,"- 패션디자인학과, 산업디자인학과: (수시모집: 일반전형 6명,",패션디자인학과,6,학생부교과 10%,,,
신한대학교,경기,수시,학생부교과(고른기회),실내디자인학과,26,학생부교과 반영비율 10%,,,
신한대학교,경기,수시,학생부교과(고른기회),시범문화전공,2,학생부교과 반영비율 10%,,,
신한대학교,경기,수시,1. 일반전형(학생부 교과),학생부 교과,375,학생부교과 반영비율 10%,,,
신한대학교,경기,수시,2. 학생부우수자전형(학생부 교과),학생부,140,학생부교과 반영비율 10%,,,
신한대학교,경기,수시,■ 학생부 교과성적 반영방법,학생부 교과,37,학생부교과 반영비율 10%,,,
신한대학교,경기,수시,■ 학생부 교과성적 반영방법,학생부 교과,24,학생부교과 반영비율 10%,,,
신한대학교,경기,수시,■ 학생부 교과성적 반영방법,학생부 교과,16,학생부교과 반영비율 10%,,,
신한대학교,경기,수시,■ 학생부 교과성적 반영방법,석차등급이 있는 과,169,학생부교과 반영비율 10%,,,
신한대학교,경기,수시,■ 학생부 교과성적 반영방법,학생부,179,학생부교과 반영비율 10%,,,
신한대학교,경기,수시,구분 학생부 교과성적 학생부 비교과 총점 활용지표,학생부,12,학생부교과 반영비율 10%,,,
신한대학교,경기,수시,구분 학생부 교과성적 학생부 비교과 총점 활용지표,학생부,74,학생부교과 반영비율 10%,,,
신한대학교,경기,수시,"10. 수능위주 일반전형Ⅰ(가군,나군)",교과 및 비교과,19,학생부교과 반영비율 10%,,,
신한대학교,경기,수시,"12. 수능위주 일반전형Ⅲ(가군,나군,다군)",학생부,218,학생부교과 반영비율 10%,,,
신한대학교,경기,수시,■ 학생부 교과성적 반영방법,의정부,26,학생부교과 반영비율 10%,,,
