대학명,지역,전형구분,군,학과명,모집인원,국어비율,수학비율,영어비율,탐구비율,한국사비율,과목별반영비율,비고
신한대학교,경기,정시,가군,품새전공,8,50%,50%,,,,국어:50% | 수학:50%,
신한대학교,경기,정시,가군,실내디자인학과,26,50%,50%,,,,국어:50% | 수학:50%,
신한대학교,경기,정시,가군,시범문화전공,2,50%,50%,,,,국어:50% | 수학:50%,
신한대학교,경기,정시,가군,학생부 교과,375,50%,50%,,,,국어:50% | 수학:50%,
신한대학교,경기,정시,가군,학생부,140,50%,50%,,,,국어:50% | 수학:50%,
신한대학교,경기,정시,가군,학생부 교과,37,50%,50%,,,,국어:50% | 수학:50%,
신한대학교,경기,정시,가군,학생부 교과,24,50%,50%,,,,국어:50% | 수학:50%,
신한대학교,경기,정시,가군,학생부 교과,16,50%,50%,,,,국어:50% | 수학:50%,
신한대학교,경기,정시,가군,석차등급이 있는 과,169,50%,50%,,,,국어:50% | 수학:50%,
신한대학교,경기,정시,가군,학생부,179,50%,50%,,,,국어:50% | 수학:50%,
신한대학교,경기,정시,가군,학생부,12,50%,50%,,,,국어:50% | 수학:50%,
신한대학교,경기,정시,가군,학생부,74,50%,50%,,,,국어:50% | 수학:50%,
신한대학교,경기,정시,가군,교과 및 비교과,19,50%,50%,,,,국어:50% | 수학:50%,
신한대학교,경기,정시,가군,학생부,218,50%,50%,,,,국어:50% | 수학:50%,
신한대학교,경기,정시,가군,공연예술학과,37,50%,50%,,,,국어:50% | 수학:50%,
신한대학교,경기,정시,가군,의정부,26,50%,50%,,,,국어:50% | 수학:50%,
