대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
연세대학교,서울,수시,"◯ 일반전형(일반계열), 고른기회전형(일반계열) 전형요소 반영비율 변경",학생부교과전형 학생부,539,확인필요,,,
연세대학교,서울,수시,일반전형 고른기회전형,일반계열,115,확인필요,,,
연세대학교,서울,수시,일반전형 고른기회전형,체능계열,962,확인필요,,,
연세대학교,서울,수시,일반전형 고른기회전형,체능계열,24,확인필요,,,
연세대학교,서울,수시,일반전형 고른기회전형,예능계열,2,확인필요,,,
연세대학교,서울,수시,일반전형 고른기회전형,예능계열,120,확인필요,,,
연세대학교,서울,수시,일반전형 고른기회전형,전 교육과,71,확인필요,,,
연세대학교,서울,수시,1. 학생부교과 [추천형],학생부교과,564,확인필요,,,
연세대학교,서울,수시,1. 학생부교과 [추천형],고교 전 교육과,10,확인필요,,,
연세대학교,서울,수시,∙ 학생부교과성적을 정량평가로 100% 반영함,학생부,015,학생부교과성적을 정량평가로 100%,,,
연세대학교,서울,수시,∙ 학생부교과성적을 정량평가로 100% 반영함,학생부,399,학생부교과성적을 정량평가로 100%,,,
연세대학교,서울,수시,∙ 학생부교과성적을 정량평가로 100% 반영함,학생부,225,학생부교과성적을 정량평가로 100%,,,
연세대학교,서울,수시,∙ 학생부교과성적을 정량평가로 100% 반영함,학년도 연세대학,334,학생부교과성적을 정량평가로 100%,,,
연세대학교,서울,수시,∙ 학생부교과성적을 정량평가로 100% 반영함,학년도 연세대학,38,학생부교과성적을 정량평가로 100%,,,
연세대학교,서울,수시,∙ 학생부교과와 경기실적은 정량평가함,학생부,13,학생부교과성적을 정량평가로 100%,,,
연세대학교,서울,수시,ⓔ 유형 Ⅳ 작곡과 일반전형 1단계의 경우 총점 300점에 4/3을 곱하여 400점 만점으로 반영함,재외국민과,71,학생부교과성적을 정량평가로 100%,,,
