대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
영남대학교,경북,수시,3 〔학생부교과〕 의학창의인재전형,학생부교과,10,확인필요,,,
영남대학교,경북,수시,3 〔학생부교과〕 의학창의인재전형,학생부교과,2,확인필요,,,
영남대학교,경북,수시,5 〔학생부교과〕 지역의사선발전형,학생부교과,5,확인필요,,,
영남대학교,경북,수시,6 〔학생부교과〕 군사학특별전형,군사학과,30,확인필요,,,
영남대학교,경북,수시,6 〔학생부교과〕 군사학특별전형,학생부,11,확인필요,,,
영남대학교,경북,수시,6 〔학생부교과〕 군사학특별전형,체육학부,22,확인필요,,,
영남대학교,경북,수시,6 〔학생부교과〕 군사학특별전형,특수체육교육과,10,확인필요,,,
영남대학교,경북,수시,6 〔학생부교과〕 군사학특별전형,생활체육 특수체육교육과,4,확인필요,,,
영남대학교,경북,수시,6 〔학생부교과〕 군사학특별전형,학년도 고등학교 재학기간 중 우리 대학,2,확인필요,,,
영남대학교,경북,수시,14 〔학생부교과〕 약학고른기회전형,학생부교과,5,확인필요,,,
영남대학교,경북,수시,14 〔학생부교과〕 약학고른기회전형,스마트모빌리티학과,30,확인필요,,,
