대학명,지역,전형구분,군,학과명,모집인원,국어비율,수학비율,영어비율,탐구비율,한국사비율,과목별반영비율,비고
영남대학교,경북,정시,가군,학생부교과,10,,5%,,,,수학:5%,
영남대학교,경북,정시,가군,학생부교과,2,,5%,,,,수학:5%,
영남대학교,경북,정시,가군,학생부교과,5,,5%,,,,수학:5%,
영남대학교,경북,정시,가군,군사학과,30,,5%,,,,수학:5%,
영남대학교,경북,정시,가군,학생부,11,,5%,,,,수학:5%,
영남대학교,경북,정시,가군,체육학부,22,,5%,,,,수학:5%,
영남대학교,경북,정시,가군,특수체육교육과,10,,5%,,,,수학:5%,
영남대학교,경북,정시,가군,생활체육 특수체육교육과,4,,5%,,,,수학:5%,
영남대학교,경북,정시,가군,주 포지션이 지원하는 포지션과,2,,5%,,,,수학:5%,
영남대학교,경북,정시,가군,학생부교과,5,,5%,,,,수학:5%,
영남대학교,경북,정시,가군,스마트모빌리티학과,30,,5%,,,,수학:5%,
