대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
울산대학교,울산,수시,학생부교과형 일반교과 전형,학생부교과형 일반교과,684,학생부교과형 학생부 100%,,,
울산대학교,울산,수시,학생부교과형 지역교과 특별전형,학생부교과형 지역교과,560,학생부교과형 학생부 100%,,,
울산대학교,울산,수시,학생부교과형 학교장추천 특별전형,학생부교과,27,학생부교과형 학생부 100%,,,
울산대학교,울산,수시,학생부교과형 학교장추천 특별전형,학생부교과,14,학생부교과형 학생부 100%,,,
울산대학교,울산,수시,학생부교과형 학교장추천 특별전형,학생부교과,72,학생부교과형 학생부 100%,,,
울산대학교,울산,수시,학생부교과형 학교장추천 특별전형,학생부교과,34,학생부교과형 학생부 100%,,,
울산대학교,울산,수시,학생부교과형 학교장추천 특별전형,학생부교과,26,학생부교과형 학생부 100%,,,
울산대학교,울산,수시,학생부교과형 학교장추천 특별전형,학생부,422,학생부교과형 학생부 100%,,,
울산대학교,울산,수시,학생부교과형 학교장추천 특별전형,학생부,473,학생부교과형 학생부 100%,,,
울산대학교,울산,수시,학생부교과형 학교장추천 특별전형,학생부,4,학생부교과형 학생부 100%,,,
울산대학교,울산,수시,학생부교과형 학교장추천 특별전형,학생부,6,학생부교과형 학생부 100%,,,
울산대학교,울산,수시,학생부교과형 학교장추천 특별전형,가 되려는 자로 부,1,학생부교과형 학생부 100%,,,
울산대학교,울산,수시,학생부교과형 학교장추천 특별전형,학교생활기록부,167,학생부교과형 학생부 100%,,,
울산대학교,울산,수시,학생부교과형 학교장추천 특별전형,예술학부,12,학생부교과형 학생부 100%,,,
울산대학교,울산,수시,학생부교과형 학교장추천 특별전형,기록부,1,학생부교과형 학생부 100%,,,
울산대학교,울산,수시,학생부교과형 학교장추천 특별전형,과학부,4,학생부교과형 학생부 100%,,,
울산대학교,울산,수시,학생부교과형 학교장추천 특별전형,학교생활기록부,7,학생부교과형 학생부 100%,,,
울산대학교,울산,수시,학생부교과형 학교장추천 특별전형,실적 및 수상에 따른 세부,18,학생부교과형 학생부 100%,,,
울산대학교,울산,수시,학생부교과형 학교장추천 특별전형,실적 및 수상에 따른 세부,5,학생부교과형 학생부 100%,,,
울산대학교,울산,수시,학생부교과형 학교장추천 특별전형,해당 과,105,학생부교과형 학생부 100%,,,
울산대학교,울산,수시,학생부교과형 학교장추천 특별전형,글로벌인문학부,16,학생부교과형 학생부 100%,,,
