대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
인천대학교,인천,수시,• 모집인원 : 456명 [교과성적우수자전형으로 통합],학생부교과,456,확인필요,,,
인천대학교,인천,수시,• 전형방법 : 학생부교과 100% • 모집인원 : 608명,학생부교과,608,학생부교과 100%,,,
인천대학교,인천,수시,(교과성적우수자전형),학생부교과,293,학생부교과 100%,,,
인천대학교,인천,수시," (수시) 학생부교과(사회통합전형) 모집인원 확대, 지원자격 변경",학생부교과,55,학생부교과 100%,,,
인천대학교,인천,수시,학생부교과,디자인학부,33,학생부교과 100%,,,
인천대학교,인천,수시,학생부교과,공연예술학과,20,학생부교과 100%,,,
인천대학교,인천,수시,학생부교과,단계 선발 결과,20,학생부교과 100%,,,
인천대학교,인천,수시,(학생부교과) 소계 804 - 690 - 학생부교과 : -114명,학생부교과,114,학생부교과 100%,,,
인천대학교,인천,수시,(학생부교과) 소계 804 - 690 - 학생부교과 : -114명,자유전공,75,학생부교과 100%,,,
인천대학교,인천,수시,(학생부교과) 소계 804 - 690 - 학생부교과 : -114명,학생부,113,학생부교과 100%,,,
인천대학교,인천,수시,학생부교과,학생부교과,4,학생부교과 100%,,,
인천대학교,인천,수시,학생부교과(교과성적우수자전형),직업과,608,학생부교과 30%,,,
인천대학교,인천,수시,학생부교과(사회통합전형),장애인 부,82,학생부교과 일괄합산 100%,,,
인천대학교,인천,수시,학생부교과 일괄합산 100%(350점) 100%(350점),전형 총점 감점 또는 부,732,학생부교과 일괄합산 100%,,,
인천대학교,인천,수시,학생부교과 일괄합산 100%(350점) 100%(350점),전형 총점 감점 또는 부,75,학생부교과 일괄합산 100%,,,
인천대학교,인천,수시,학생부교과 일괄합산 100%(350점) 100%(350점),고 입학부,110,학생부교과 일괄합산 100%,,,
인천대학교,인천,수시,학생부교과 일괄합산 100%(350점) 100%(350점),전형 총점 감점 또는 부,48,학생부교과 일괄합산 100%,,,
인천대학교,인천,수시,학생부교과 일괄합산 100%(350점) 100%(350점),전형 총점 감점 또는 부,6,학생부교과 일괄합산 100%,,,
인천대학교,인천,수시,학생부교과 일괄합산 100%(350점) 100%(350점),체육교육과,145,학생부교과 일괄합산 100%,,,
인천대학교,인천,수시,전형구분 전형방법 학생부교과 출결 면접고사 실적 계,전형 총점 감점 또는 부,1,학생부교과 일괄합산 100%,,,
인천대학교,인천,수시,전형구분 전형방법 학생부교과 출결 면접고사 실적 계,외국전교육과,50,학생부교과 일괄합산 100%,,,
인천대학교,인천,수시,전형구분 전형방법 학생부교과 출결 면접고사 실적 계,전형 총점 감점 또는 부,1,학생부교과 일괄합산 100%,,,
