대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
전주대학교,전북,수시,학생부교과(달란트) 학생부 90% 900점 630점 270점,운동처방학과,4,학생부교과(달란트) 학생부 90%,,,
전주대학교,전북,수시,학생부교과(달란트) 학생부 90% 900점 630점 270점,축구학과,8,학생부교과(달란트) 학생부 90%,,,
전주대학교,전북,수시,학생부교과(달란트) 학생부 90% 900점 630점 270점,생활체육학과,8,학생부교과(달란트) 학생부 90%,,,
전주대학교,전북,수시,학생부교과(달란트) 학생부 90% 900점 630점 270점,전형방법 및 실기고사 과,4,학생부교과(달란트) 학생부 90%,,,
전주대학교,전북,수시,학생부교과 시각디자인학과,동물보건학과,2,학생부교과(달란트) 학생부 90%,,,
전주대학교,전북,수시,학생부교과 시각디자인학과,인문콘 사회 중국어중국학과,3,학생부교과(달란트) 학생부 90%,,,
전주대학교,전북,수시,학생부교과 시각디자인학과,경찰학과,2,학생부교과(달란트) 학생부 90%,,,
전주대학교,전북,수시,학생부교과 시각디자인학과,문헌정보학과,2,학생부교과(달란트) 학생부 90%,,,
전주대학교,전북,수시,학생부교과 시각디자인학과,사회 인문 법학과,2,학생부교과(달란트) 학생부 90%,,,
전주대학교,전북,수시,학생부교과 시각디자인학과,대학 사회 사회복지학과,3,학생부교과(달란트) 학생부 90%,,,
전주대학교,전북,수시,학생부교과 시각디자인학과,상담심리학과,2,학생부교과(달란트) 학생부 90%,,,
전주대학교,전북,수시,학생부교과 시각디자인학과,행정학과,2,학생부교과(달란트) 학생부 90%,,,
전주대학교,전북,수시,학생부교과 시각디자인학과,경영 인문 회계세무학과,3,학생부교과(달란트) 학생부 90%,,,
전주대학교,전북,수시,학생부교과 시각디자인학과,간호학과,1,학생부교과(달란트) 학생부 90%,,,
전주대학교,전북,수시,학생부교과 시각디자인학과,물리치료학과,3,학생부교과(달란트) 학생부 90%,,,
전주대학교,전북,수시,학생부교과 시각디자인학과,보건 방사선학과,3,학생부교과(달란트) 학생부 90%,,,
전주대학교,전북,수시,학생부교과 시각디자인학과,보건관리학과,3,학생부교과(달란트) 학생부 90%,,,
전주대학교,전북,수시,학생부교과 시각디자인학과,대학 작업치료학과,3,학생부교과(달란트) 학생부 90%,,,
전주대학교,전북,수시,학생부교과 시각디자인학과,식품영양학과,2,학생부교과(달란트) 학생부 90%,,,
전주대학교,전북,수시,학생부교과 시각디자인학과,예체능 운동처방학과,2,학생부교과(달란트) 학생부 90%,,,
전주대학교,전북,수시,학생부교과 시각디자인학과,재활학과,2,학생부교과(달란트) 학생부 90%,,,
전주대학교,전북,수시,학생부교과 시각디자인학과,건축공학과,2,학생부교과(달란트) 학생부 90%,,,
전주대학교,전북,수시,학생부교과 시각디자인학과,건축학과,3,학생부교과(달란트) 학생부 90%,,,
전주대학교,전북,수시,학생부교과 시각디자인학과,토목환경공학과,2,학생부교과(달란트) 학생부 90%,,,
전주대학교,전북,수시,학생부교과 시각디자인학과,기계공학과,2,학생부교과(달란트) 학생부 90%,,,
