대학명,지역,전형구분,군,학과명,모집인원,국어비율,수학비율,영어비율,탐구비율,한국사비율,과목별반영비율,비고
전주대학교,전북,정시,다군,운동처방학과,4,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,축구학과,8,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,생활체육학과,8,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,전형방법 및 실기고사 과,4,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,동물보건학과,2,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,인문콘 사회 중국어중국학과,3,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,경찰학과,2,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,문헌정보학과,2,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,사회 인문 법학과,2,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,대학 사회 사회복지학과,3,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,상담심리학과,2,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,행정학과,2,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,경영 인문 회계세무학과,3,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,간호학과,1,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,물리치료학과,3,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
