대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
중원대학교,충북,수시,Ÿ 학생부교과(일반전형2) : 학과별 전형요소 반영비율 변경,간호학과,40,확인필요,,,
중원대학교,충북,수시,Ÿ 학생부교과(일반전형2) : 학과별 전형요소 반영비율 변경,임상병리학과,10,확인필요,,,
중원대학교,충북,수시,Ÿ 학생부교과(일반전형2) : 학과별 전형요소 반영비율 변경,경찰행정학과,5,확인필요,,,
중원대학교,충북,수시,2 시 학생부교과 실적 학생부교과 시 교,인문 자율전공학부,11,교과10%,,,
중원대학교,충북,수시,학생부교과 1. 모집인원 : 402명,학생부교과,402,학생부교과 15%,,,
중원대학교,충북,수시,학생부교과 1. 모집인원 : 78명,학생부교과,78,학생부교과 100%,,,
중원대학교,충북,수시,학생부교과 1. 모집인원 : 36명,학생부교과,36,학생부교과 60%,,,
중원대학교,충북,수시,학생부교과 1. 모집인원 : 4명,학생부교과,4,학생부교과 100%,,,
중원대학교,충북,수시,학생부교과 1. 모집인원 : 3명,학생부교과,3,학생부교과 100%,,,
중원대학교,충북,수시,학생부교과 1. 모집인원 : 37명,학생부교과,37,학생부교과 100%,,,
중원대학교,충북,수시,일괄합산 학생부교과 100%,학생부,60,학생부교과 100%,,,
중원대학교,충북,수시,일괄합산 학생부교과 100%,수시모집 전형별 세부,20,학생부교과 100%,,,
중원대학교,충북,수시,일괄합산 학생부교과 100%,수시모집 전형별 세부,126,학생부교과 10%,,,
중원대학교,충북,수시,일괄합산 학생부교과 100%,문화체육관광부,30,학생부교과 10%,,,
중원대학교,충북,수시,일괄합산 학생부교과 100%,산업학과,10,학생부교과 10%,,,
중원대학교,충북,수시,일괄합산 학생부교과 100%,레저학부,32,학생부교과 10%,,,
중원대학교,충북,수시,일괄합산 학생부교과 100%,과학과,29,학생부교과 10%,,,
중원대학교,충북,수시,일괄합산 학생부교과 100%,과학과,8,학생부교과 10%,,,
중원대학교,충북,수시,일괄합산 학생부교과 100%,스포츠지도학과,17,학생부교과 10%,,,
중원대학교,충북,수시,학생부교과 1. 모집인원 : 32명,학생부교과,32,학생부교과 15%,,,
중원대학교,충북,수시,학생부교과 1. 모집인원 : 12명,학생부교과,12,학생부교과 100%,,,
중원대학교,충북,수시,학생부교과 1. 모집인원 : 4명,학생부교과,4,학생부교과 100%,,,
중원대학교,충북,수시,학생부교과 1. 모집인원 : 2명 + 수시이월,학생부교과,2,학생부교과 100%,,,
