대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
충북대학교,충북,수시,사회적배려대상자 지역인재,학교폭력 조치사항 세부,347,확인필요,,,
충북대학교,충북,수시,⑤ 학생부교과(특수교육대상자전형) ⑦ 수능(정시가군 지역인재전형),학생부,542,확인필요,,,
충북대학교,충북,수시,⑤ 학생부교과(특수교육대상자전형) ⑦ 수능(정시가군 지역인재전형),학생부,119,확인필요,,,
충북대학교,충북,수시,"가. 모집인원: 학생부교과(학생부교과전형) 751명, 학생부교과(지역인재전형) 630명,",학생부교과,751,확인필요,,,
충북대학교,충북,수시,"학생부교과(지역경제배려대상자전형) 5명,",학생부교과,5,확인필요,,,
충북대학교,충북,수시,"학생부교과(지역의사진료권(청주)전형) 16명, 학생부교과(지역의사진료권(충주)전형) 5명,",학생부교과,16,확인필요,,,
충북대학교,충북,수시,"학생부교과(지역의사진료권(제천)전형) 2명, 학생부교과(지역의사광역권전형) 10명,",학생부교과,2,확인필요,,,
충북대학교,충북,수시,"학생부교과(국가보훈대상자전형) 16명, 학생부교과(경제배려대상자전형) 73명",학생부교과,16,확인필요,,,
충북대학교,충북,수시,4. 학생부교과전형 [정원외],학생부교과,41,학생부교과 (100%,,,
충북대학교,충북,수시,"전형으로 학생부교과성적으로 점수를 산출하며, 학교생활기록부에 학교폭력 기재사항이 있을 경우 각 호수에",따라 부,7,학생부교과 (100%,,,
충북대학교,충북,수시,"전형으로 학생부교과성적으로 점수를 산출하며, 학교생활기록부에 학교폭력 기재사항이 있을 경우 각 호수에",전형명 전형방법 학생부,1,학생부교과 (100%,,,
충북대학교,충북,수시,"1. 모집인원 : 수능(가군 일반전형) 185명, 수능(나군 일반전형) 276명, 수능(다군 일반전형) 40명",우리대학,185,학생부교과 (100%,,,
충북대학교,충북,수시,"수능(가군 지역인재전형) 4명, 수능(나군 지역인재전형) 30명,",수시 학생부,4,학생부교과 (100%,,,
충북대학교,충북,수시,학생부교과전형 [정원외],학생부교과,20,학생부교과 (100%,,,
