대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
한국공학대학교,경기,수시,◦ 수시 학생부교과(교과우수자) : 200명 → 194명(-6명),수시 학생부교과,200,확인필요,,,
한국공학대학교,경기,수시,◦ 수시 학생부교과(지역균형) : 196명 → 170명(-26명),수시 학생부교과,196,확인필요,,,
한국공학대학교,경기,수시,◦ 수시 학생부교과(지역균형) : 196명 → 170명(-26명),수시 학생부,58,확인필요,,,
한국공학대학교,경기,수시,◦ 수시 학생부교과(지역균형) : 196명 → 170명(-26명),수시 학생부,47,확인필요,,,
한국공학대학교,경기,수시,◦ 수시 학생부교과(지역균형) : 196명 → 170명(-26명),수시 학생부,256,확인필요,,,
한국공학대학교,경기,수시,◦ 수시 학생부교과(지역균형) : 196명 → 170명(-26명),수시 학생부,2,확인필요,,,
한국공학대학교,경기,수시,◦ 수시 학생부교과(지역균형) : 196명 → 170명(-26명),수시 학생부교과,20,확인필요,,,
한국공학대학교,경기,수시,◦ 수시 학생부교과(지역균형) : 196명 → 170명(-26명),수시 학생부,76,확인필요,,,
한국공학대학교,경기,수시,◦ 수시 학생부교과(지역균형) : 196명 → 170명(-26명),수시 학생부,120,확인필요,,,
한국공학대학교,경기,수시,◦ 학생부교과(교과우수자),학생부교과,55,확인필요,,,
한국공학대학교,경기,수시,지원자격 - 국내 고교 3학기 이상 학생부 교과 성적 산출내역이 있는 자,학교생활기록부,2,학생부 교과 100%,,,
한국공학대학교,경기,수시,지원자격 - 국내 고교 3학기 이상 학생부 교과 성적 산출내역이 있는 자,학교생활기록부,2,학생부 교과 100%,,,
한국공학대학교,경기,수시,학생부교과(지역균형) 학생부 교과 100% 부적격 처리,구술면접 전공,3,학생부교과(특성화고교졸업자) 학생부 교과 100%,,,
