대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
한국교통대학교,충북,수시,학생부교과(특수교육대상자) 11 0.51 11 0.51,학생부교과,3,확인필요,,,
한국교통대학교,충북,수시,학생부교과(특수교육대상자전형) 11,스포츠산업학과,773,확인필요,,,
한국교통대학교,충북,수시,수능 수능(일반전형),산업디자인학과,194,확인필요,,,
한국교통대학교,충북,수시,수능 수능(일반전형),학교생활기록부 및 대학,3,확인필요,,,
한국교통대학교,충북,수시,- 정원내 전형의 수시 미충원 인원은 정시 정원내 일반전형 해당 모집단위(전공예약제는 해당 전공이 속한 학부)로 이월,학생부,21,확인필요,,,
한국교통대학교,충북,수시,- 정원내 전형의 수시 미충원 인원은 정시 정원내 일반전형 해당 모집단위(전공예약제는 해당 전공이 속한 학부)로 이월,학생부,551,확인필요,,,
한국교통대학교,충북,수시,일반전형 909명 고등학교 졸업(예정)자 또는 법령에 의하여 이와 동등 이상의 학력이 있다고 인정된 자,학생부교과,909,확인필요,,,
한국교통대학교,충북,수시,"지역인재전형 133명 충청권(대전, 세종 포함) 소재 고등학교에서 입학부터 졸업까지의 모든 교육과정을",소재 고등학교에서 입학부터 졸업까지의 모든 교육과,133,확인필요,,,
한국교통대학교,충북,수시,지역인재전형,소재 고등학교에서 전 교육과,2,확인필요,,,
한국교통대학교,충북,수시,지역인재전형,으로부,41,확인필요,,,
한국교통대학교,충북,수시,지역인재전형,장애인부,1,확인필요,,,
한국교통대학교,충북,수시,지역인재전형,더불어 본 기본계획안은 국립한국교통대학,62,확인필요,,,
한국교통대학교,충북,수시,지역인재전형,고등학교에서 전 교육과,43,확인필요,,,
한국교통대학교,충북,수시,지역인재전형,대학이 지정한 모집단위별 동일 계열 기준학과,28,확인필요,,,
한국교통대학교,충북,수시,지역인재전형,단위와 관련된 전문교과,31,확인필요,,,
한국교통대학교,충북,수시,지역인재전형,학년도 대학,11,확인필요,,,
한국교통대학교,충북,수시,일반전형 외 모든 전형 전 모집단위 없음 없음,수능최저학력기준 충족자 중에서 우리 대학,11,확인필요,,,
한국교통대학교,충북,수시,일반전형 외 모든 전형 전 모집단위 없음 없음,를 초과,11,확인필요,,,
한국교통대학교,충북,수시,일반전형 24명 고등학교 졸업(예정)자 또는 법령에 의하여 이와 동등 이상의 학력이 있다고 인정된 자,더불어 본 기본계획안은 국립한국교통대학,24,확인필요,,,
한국교통대학교,충북,수시,지역인재전형 4명,자로서 본인이 입학일부,4,확인필요,,,
한국교통대학교,충북,수시,지역인재전형 4명,고등학교에서 전 교육과,3,확인필요,,,
한국교통대학교,충북,수시,지역인재전형 4명,우리 대학,11,확인필요,,,
한국교통대학교,충북,수시,지역인재전형 4명,를 초과,11,확인필요,,,
한국교통대학교,충북,수시,지역인재전형 4명,더불어 본 기본계획안은 국립한국교통대학,2,확인필요,,,
한국교통대학교,충북,수시,지역인재전형 4명,모집단위 사정단계 선발인원 학생부,50,확인필요,,,
한국교통대학교,충북,수시,지역인재전형 4명,년 이상의 직업교육훈련과,24,확인필요,,,
한국교통대학교,충북,수시,지역인재전형 4명,년 이상의 직업교육훈련과,38,확인필요,,,
한국교통대학교,충북,수시,지역인재전형 4명,제공하는 것과 같은 교육과정을 운영하는 평생교육시설에서 해당 교육과,46,확인필요,,,
한국교통대학교,충북,수시,"수능 위주(일반전형) / 가군, 다군",더불어 본 기본계획안은 국립한국교통대학,135,확인필요,,,
한국교통대학교,충북,수시,"수능 위주(일반전형) / 가군, 다군",학년도 대학,42,확인필요,,,
한국교통대학교,충북,수시,"수능 위주(일반전형) / 가군, 다군",더불어 본 기본계획안은 국립한국교통대학,4,확인필요,,,
한국교통대학교,충북,수시,"수능 위주(일반전형) / 가군, 다군",학년도 대학,13,확인필요,,,
