대학명,지역,전형구분,군,학과명,모집인원,국어비율,수학비율,영어비율,탐구비율,한국사비율,과목별반영비율,비고
한국기술교육대학교,충남,정시,,인재를 선발하는 학생부교과,118,,100%,,,,수학:100%,
한국기술교육대학교,충남,정시,,학생부,12,,100%,,,,수학:100%,
한국기술교육대학교,충남,정시,,학생부 학생부,192,,100%,,,,수학:100%,
한국기술교육대학교,충남,정시,,전 교육과,149,,100%,,,,수학:100%,
한국기술교육대학교,충남,정시,,학년도 정시모집 동점자 초과,1,,100%,,,,수학:100%,
한국기술교육대학교,충남,정시,,신입생 미충원 인원 이월 및 초과,786,,100%,,,,수학:100%,
한국기술교육대학교,충남,정시,,학생부,12,,100%,,,,수학:100%,
한국기술교육대학교,충남,정시,,학생부,192,,100%,,,,수학:100%,
한국기술교육대학교,충남,정시,,학생부,85,,100%,,,,수학:100%,
한국기술교육대학교,충남,정시,,군 공학융합계열,50,,100%,,,,수학:100%,
한국기술교육대학교,충남,정시,,ICT융합계열,24,,100%,,,,수학:100%,
한국기술교육대학교,충남,정시,,일반전형 사회융합계열,25,,100%,,,,수학:100%,
한국기술교육대학교,충남,정시,,자율전공,38,,100%,,,,수학:100%,
한국기술교육대학교,충남,정시,,자율전공,6,,100%,,,,수학:100%,
한국기술교육대학교,충남,정시,,SW학석사통합 ICT융합계열,6,,100%,,,,수학:100%,
한국기술교육대학교,충남,정시,,전 교육과,935,,100%,,,,수학:100%,
한국기술교육대학교,충남,정시,,ICT융합계열,1,,100%,,,,수학:100%,
한국기술교육대학교,충남,정시,,의해 등급을 부,149,100%,100%,100%,25%,,국어:100% | 수학:100% | 영어:100% | 탐구:25%,
