대학명,지역,전형구분,군,학과명,모집인원,국어비율,수학비율,영어비율,탐구비율,한국사비율,과목별반영비율,비고
한국해양대학교,부산,정시,다군,학 인문사회자율전공학부,1,,20%,,,,수학:20%,
한국해양대학교,부산,정시,다군,학년도 모집결과,2,,20%,,,,수학:20%,
한국해양대학교,부산,정시,다군,학생부교과,85,,20%,,,,수학:20%,
한국해양대학교,부산,정시,다군,학생부교과,776,,20%,,,,수학:20%,
한국해양대학교,부산,정시,다군,학생부교과,116,,20%,,,,수학:20%,
한국해양대학교,부산,정시,다군,학생부,98,,20%,,,,수학:20%,
한국해양대학교,부산,정시,다군,학생부,38,,20%,,,,수학:20%,
한국해양대학교,부산,정시,다군,해양인문사회과,2,,20%,,,,수학:20%,
한국해양대학교,부산,정시,다군,학생부교과,41,,20%,,,,수학:20%,
한국해양대학교,부산,정시,다군,학생부교과,11,,20%,,,,수학:20%,
한국해양대학교,부산,정시,다군,학생부교과,24,,20%,,,,수학:20%,
한국해양대학교,부산,정시,다군,학생부,4,,20%,,,,수학:20%,
한국해양대학교,부산,정시,다군,학생부,5,,20%,,,,수학:20%,
한국해양대학교,부산,정시,다군,학생부,271,,20%,,,,수학:20%,
한국해양대학교,부산,정시,다군,학교폭력 조치사항을 확인하기 위하여 학교생활기록부,0,,20%,,,,수학:20%,
한국해양대학교,부산,정시,다군,일반전형과,0,,20%,,,,수학:20%,
한국해양대학교,부산,정시,다군,일반전형과,0,,20%,,,,수학:20%,
한국해양대학교,부산,정시,다군,학생부,0,,20%,,,,수학:20%,
한국해양대학교,부산,정시,다군,재외국민 수시 인문사회계열,27,,20%,,,,수학:20%,
