대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
한동대학교,경북,수시,지역인재 50 지역인재 35,기타 전 교육과정 이수자 제한없음 기타 전 교육과,760,확인필요,,,
한동대학교,경북,수시,다. 학생부교과전형 전형 방법 변경,타전형과,65,교과 100%,,,
한동대학교,경북,수시,지역인재 35,기타 전 교육과,733,교과 100%,,,
한동대학교,경북,수시,학생부교과,모집단위 전 학부,130,교과 100%,,,
한동대학교,경북,수시,학생부교과,모집단위 전 학부,70,교과 100%,,,
한동대학교,경북,수시,학생부교과,모집단위 전 학부,173,교과 100%,,,
한동대학교,경북,수시,학생부교과,모집단위 전 학부,40,교과 100%,,,
한동대학교,경북,수시,학생부교과,모집단위 전 학부,7,교과 100%,,,
한동대학교,경북,수시,학생부교과,모집단위 전 학부,100,교과 100%,,,
한동대학교,경북,수시,학생부교과,모집단위 전 학부,60,교과 100%,,,
한동대학교,경북,수시,학생부교과,모집단위 전 학부,35,교과 100%,,,
한동대학교,경북,수시,9. 지역인재,모집단위 전 학부,35,교과 100%,,,
한동대학교,경북,수시,9. 지역인재,모집단위 전 학부,16,교과 100%,,,
한동대학교,경북,수시,9. 지역인재,모집단위 전 학부,16,교과 100%,,,
한동대학교,경북,수시,9. 지역인재,모집단위 전 학부,5,교과 100%,,,
한동대학교,경북,수시,9. 지역인재,모집단위 전 학부,3,교과 100%,,,
한동대학교,경북,수시,9. 지역인재,모집단위 전 학부,30,교과 100%,,,
한동대학교,경북,수시,9. 지역인재,모집단위 및 인원 모집단위 전 학부,0,교과 100%,,,
한동대학교,경북,수시,9. 지역인재,모집단위 및 인원 모집단위 전 학부,0,교과 100%,,,
한동대학교,경북,수시,9. 지역인재,모집단위 전 학부,13,교과 100%,,,
