대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
한라대학교,강원,수시,학생부교과,기계자동차공학과,6,확인필요,,,
한라대학교,강원,수시,학생부교과,미래모빌리티공학과,4,확인필요,,,
한라대학교,강원,수시,학생부교과,도시인프라공학과,3,확인필요,,,
한라대학교,강원,수시,학생부교과,컴퓨터공학과,4,확인필요,,,
한라대학교,강원,수시,학생부교과,IT소프트웨어학과,4,확인필요,,,
한라대학교,강원,수시,학생부교과,전기전자공학과,4,확인필요,,,
한라대학교,강원,수시,학생부교과,AI정보보안학과,3,확인필요,,,
한라대학교,강원,수시,학생부교과,철도운전시스템학과,5,확인필요,,,
한라대학교,강원,수시,학생부교과,미디어광고콘텐츠학과,4,확인필요,,,
한라대학교,강원,수시,학생부교과,영상제작학과,3,확인필요,,,
한라대학교,강원,수시,학생부교과,건축학과,5,확인필요,,,
한라대학교,강원,수시,학생부교과,소방안전학과,4,확인필요,,,
한라대학교,강원,수시,학생부교과,사회복지학과,5,확인필요,,,
한라대학교,강원,수시,학생부교과,경찰행정학과,5,확인필요,,,
한라대학교,강원,수시,학생부교과,경영학과,4,확인필요,,,
한라대학교,강원,수시,학생부교과,호텔항공외식경영학과,3,확인필요,,,
한라대학교,강원,수시,학생부교과,문화관광경영학과,3,확인필요,,,
한라대학교,강원,수시,학생부교과,뷰티디자인학과,2,확인필요,,,
한라대학교,강원,수시,학생부교과,스포츠학과,5,확인필요,,,
한라대학교,강원,수시,학생부교과,자유전공학부,3,확인필요,,,
