대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
한신대학교,경기,수시,학생부우수자전형 324명 교과우수자전형 261명,학생부,324,확인필요,,,
한신대학교,경기,수시,학교장추천전형 55명 학교장추천전형 100명,학생부 학생부,55,확인필요,,,
한신대학교,경기,수시,학교장추천전형 55명 학교장추천전형 100명,교과 교과,63,확인필요,,,
한신대학교,경기,수시,학교장추천전형 55명 학교장추천전형 100명,학생부 학생부,26,확인필요,,,
한신대학교,경기,수시,학교장추천전형 55명 학교장추천전형 100명,교과 교과,20,확인필요,,,
한신대학교,경기,수시,학교장추천전형 55명 학교장추천전형 100명,과학교과,54,확인필요,,,
한신대학교,경기,수시,교과우수자전형 261명 100 100,학년도 대학,261,학생부교과 45%,,,
한신대학교,경기,수시,원 학교장추천전형 100명 90 10 100,학생부,100,학생부교과 45%,,,
한신대학교,경기,수시,원 학교장추천전형 100명 90 10 100,학생부,26,학생부교과 45%,,,
한신대학교,경기,수시,원 학교장추천전형 100명 90 10 100,학년도 대학,57,학생부교과 45%,,,
한신대학교,경기,수시,2. 학생부교과(참인재)전형,학생부교과,253,학생부교과 45%,,,
한신대학교,경기,수시,2. 학생부교과(참인재)전형,학생부,312,학생부교과 45%,,,
한신대학교,경기,수시,모집인원 학생부교과,모집인원 학생부교과,261,학생부교과 45%,,,
한신대학교,경기,수시,4. 학생부교과(학교장추천)전형,학생부,100,학생부교과 45%,,,
한신대학교,경기,수시,모집인원 학생부교과,모집인원 학생부교과,63,학생부교과 45%,,,
한신대학교,경기,수시,모집인원 학생부교과,모집인원 학생부교과,63,학생부교과 45%,,,
한신대학교,경기,수시,모집인원 학생부교과,모집인원 사정방법 체육실기 학생부교과,22,학생부교과 45%,,,
한신대학교,경기,수시,모집인원 학생부교과,모집인원 학생부교과,26,학생부교과 45%,,,
한신대학교,경기,수시,모집인원 학생부교과,모집인원 학생부교과,22,학생부교과 45%,,,
한신대학교,경기,수시,모집인원 학생부교과,모집인원 학생부교과,15,학생부교과 45%,,,
