대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
한양대학교,서울,수시,¢ 학생부교과(추천형) 수능최저학력기준 변경,학생부,481,학생부교과 90%,,,
한양대학교,서울,수시,¢ 학생부교과(추천형) 수능최저학력기준 변경,학생부,154,학생부교과 90%,,,
한양대학교,서울,수시,¢ 학생부교과(추천형) 수능최저학력기준 변경,명 학생부,154,학생부교과 90%,,,
한양대학교,서울,수시,¢ 학생부교과(추천형) 수능최저학력기준 변경,학생부,3,학생부교과 90%,,,
한양대학교,서울,수시,학생부교과(추천형),학생부교과,506,학생부교과 60%,,,
한양대학교,서울,수시,학생부교과(추천형),학생부,811,학생부교과 60%,,,
한양대학교,서울,수시,학생부교과(추천형),학생부,266,학생부교과 60%,,,
한양대학교,서울,수시,학생부교과(추천형),학생부,107,학생부교과 60%,,,
한양대학교,서울,수시,학생부교과(추천형),한양인터칼리지학부,5,학생부교과 60%,,,
한양대학교,서울,수시,학생부교과(추천형),스포츠산업과학부,1,학생부교과 60%,,,
한양대학교,서울,수시,학생부교과(추천형),학생부,154,학생부교과 60%,,,
한양대학교,서울,수시,학생부교과(추천형),산업융합학부,157,학생부교과 60%,,,
한양대학교,서울,수시,❖ 모집단위별 학생부교과 반영 비율 상이,음악대학,49,학생부교과 60%,,,
한양대학교,서울,수시,¢ 학생부교과 반영방법 : p.31 참조,스포츠산업과학부,6,학생부교과 40%,,,
한양대학교,서울,수시,¢ 학생부교과 반영방법 : p.31 참조,스포츠산업과학부,6,학생부교과 40%,,,
한양대학교,서울,수시,¢ 학생부교과 반영방법 : p.31 참조,연극영화학과,2,학생부교과 40%,,,
한양대학교,서울,수시,¢ 학생부교과 반영방법 : p.31 참조,무용학과,31,학생부교과 20%,,,
