대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
협성대학교,경기,수시,학생부교과 /,시각디자인학과,701,확인필요,,,
협성대학교,경기,수시,■ 학생부교과(교과성적우수자전형),학생부교과,1,확인필요,,,
협성대학교,경기,수시,■ 학생부교과(교과성적우수자전형),신학과,149,확인필요,,,
협성대학교,경기,수시,■ 학생부교과(미래창의인재전형),학생부교과,71,확인필요,,,
협성대학교,경기,수시,■ 학생부교과(웨슬리전형),학생부교과,25,확인필요,,,
협성대학교,경기,수시,■ 학생부교과(웨슬리전형),학생부교과,38,확인필요,,,
협성대학교,경기,수시,학생부교과성적,학생부교과,38,확인필요,,,
협성대학교,경기,수시,학생부교과성적,학생부,68,확인필요,,,
협성대학교,경기,수시,학생부교과성적,학생부,102,확인필요,,,
협성대학교,경기,수시,학생부교과성적,협성대학,135,확인필요,,,
협성대학교,경기,수시,학생부교과성적,학생부교과,20,확인필요,,,
협성대학교,경기,수시,학생부교과성적,학생부교과,15,확인필요,,,
협성대학교,경기,수시,학생부교과성적,학생부교과,20,확인필요,,,
협성대학교,경기,수시,학생부교과성적,학생부교과,20,확인필요,,,
