대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
호서대학교,충남,수시,01_학생부교과(학생부전형),학생부교과,334,학생부 교과 성적 60%,,,
호서대학교,충남,수시,02_학생부교과(면접전형),학생부교과,258,학생부 교과 성적 60%,,,
호서대학교,충남,수시,03_학생부교과(지역인재전형),학생부교과,295,학생부 교과 성적 60%,,,
호서대학교,충남,수시,04_학생부교과(지역인재Ⅱ전형),학생부교과,2,학생부 교과 성적 60%,,,
호서대학교,충남,수시,05_학생부교과(성인학습자),학생부교과,5,학생부 교과 성적 60%,,,
호서대학교,충남,수시,전형요소 학생부 교과성적(%) 면접(%),학생부,396,학생부 교과 성적 60%,,,
호서대학교,충남,수시,전형요소 학생부 교과성적(%) 면접(%),학교생활기록부,290,학생부 교과 성적 60%,,,
호서대학교,충남,수시,전형요소 학생부 교과성적(%) 면접(%),골프산업학과,8,학생부 교과 성적 60%,,,
호서대학교,충남,수시,전형요소 입상실적(%) 학생부 교과성적(%) 비교과(출결)(%),학생부교과,48,학생부 교과 성적 60%,,,
호서대학교,충남,수시,전형요소 학생부 교과성적(%),학생부교과,70,학생부 교과 성적 60%,,,
호서대학교,충남,수시,전형요소 학생부 교과성적(%),학생부교과,40,학생부 교과 성적 60%,,,
호서대학교,충남,수시,전형요소 학생부 교과성적(%),학생부교과,25,학생부 교과 성적 60%,,,
호서대학교,충남,수시,전형요소 학생부 교과성적(%) 면접(%),학생부교과,8,학생부 교과 성적 60%,,,
호서대학교,충남,수시,14_학생부교과(조기취업형계약학과전형)(정원외),학생부교과,65,학생부 교과 성적 60%,,,
호서대학교,충남,수시,전형요소 학생부 교과성적(%) 면접(%),전형요소 학생부 교과,10,학생부 교과 성적 60%,,,
호서대학교,충남,수시,전형요소 학생부 교과성적(%) 면접(%),순수외국인 지원자격에 부,166,학생부 교과 성적 60%,,,
호서대학교,충남,수시,전형요소 학생부 교과성적(%) 면접(%),공연예술학부,101,학생부 교과 성적 60%,,,
호서대학교,충남,수시,전형요소 학생부 교과성적(%) 면접(%),사회체육학과,26,학생부 교과 성적 60%,,,
