대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
홍익대학교,서울,수시,1. [수시] 학생부교과 학교장추천자전형 모집인원 비율 확대 및 추천 인원 제한 변경,인문계열,10,확인필요,,,
홍익대학교,서울,수시,학생부위주(교과) 학교장추천자전형,학생부,420,교과 10%,,,
홍익대학교,서울,수시,학생부교과 비교과(출결),학생부,434,교과 10%,,,
홍익대학교,서울,수시,학생부교과 비교과(출결),캠퍼스자율전공,23,교과 10%,,,
홍익대학교,서울,수시,학생부교과 비교과(출결),외 징계 여부,384,교과 10%,,,
홍익대학교,서울,수시,학생부교과 비교과(출결),외 징계 여부,289,교과 10%,,,
홍익대학교,서울,수시,학생부교과 서류 면접,서울캠퍼스 뮤지컬전공,48,교과 10%,,,
홍익대학교,서울,수시,학생부교과 서류 면접,학생부,40,교과 10%,,,
홍익대학교,서울,수시,모집계열/모집단위 전형단계 선발배수 학생부교과,학생부,15,교과 10%,,,
홍익대학교,서울,수시,모집계열/모집단위 전형단계 선발배수 학생부교과,학생부,10,교과 10%,,,
홍익대학교,서울,수시,모집계열/모집단위 전형단계 선발배수 학생부교과,학생부,29,교과 10%,,,
홍익대학교,서울,수시,학생부위주(교과) 교과우수자전형,학생부,316,교과 10%,,,
홍익대학교,서울,수시,학생부교과 비교과(출결),학생부,191,교과 10%,,,
홍익대학교,서울,수시,학생부교과 비교과(출결),외 징계 여부,195,교과 10%,,,
홍익대학교,서울,수시,학생부교과 비교과(출결),외 징계 여부,183,교과 10%,,,
홍익대학교,서울,수시,학생부교과를 점수로 반영할 수 없는 자는 서류평가 점수를 이용하여 산출함. 자세한 사항은 모집요강 참조),외 징계 여부,26,교과 10%,,,
홍익대학교,서울,수시,학생부교과를 점수로 반영할 수 없는 자는 서류평가 점수를 이용하여 산출함. 자세한 사항은 모집요강 참조),학생부,20,교과 80%,,,
홍익대학교,서울,수시,모집계열/모집단위 전형단계 선발배수 학생부교과,학생부,10,교과 80%,,,
홍익대학교,서울,수시,모집계열/모집단위 전형단계 선발배수 학생부교과,학생부,6,교과 80%,,,
홍익대학교,서울,수시,모집계열/모집단위 전형단계 선발배수 학생부교과,학생부,12,교과 80%,,,
홍익대학교,서울,수시,학생부 교과 30% 출결 10%,외 징계 여부,28,학생부 교과 30%,,,
홍익대학교,서울,수시,학생부 교과 30% 출결 10%,외 징계 여부,12,학생부 교과 30%,,,
