대학명,지역,전형구분,군,학과명,모집인원,국어비율,수학비율,영어비율,탐구비율,한국사비율,과목별반영비율,비고
강원대학교,강원,정시,가군,농업생명과,6,,,,10%,,탐구:10%,
건국대학교,서울,정시,나군,공통과,12,50%,,,,,국어:50%,
경기대학교,경기,정시,,사회과,20,35%,30%,20%,,,국어:35% | 수학:30% | 영어:20%,
경상국립대학교,경남,정시,다군,스포츠헬스케어학과,2,,,,20%,,탐구:20%,
경상국립대학교,경남,정시,나군,건축공학과,649,,,,20%,,탐구:20%,
경성대학교,부산,정시,,정시 일반전형 사진학과,5,25%,30%,20%,25%,,국어:25% | 수학:30% | 영어:20% | 탐구:25%,
경성대학교,부산,정시,,전체 전체 부,5,25%,30%,20%,25%,,국어:25% | 수학:30% | 영어:20% | 탐구:25%,
경성대학교,부산,정시,다군,학교생활기록부,10,25%,30%,20%,25%,,국어:25% | 수학:30% | 영어:20% | 탐구:25%,
경성대학교,부산,정시,다군,학생부 교과,5,25%,30%,20%,25%,,국어:25% | 수학:30% | 영어:20% | 탐구:25%,
경일대학교,경북,정시,가군,영어 등급별 점수 부,3,,,,5%,,탐구:5%,
경일대학교,경북,정시,가군,학년도 재외국민과,00,,,,5%,,탐구:5%,
경일대학교,경북,정시,가군,수시 전교육과,00,,,,5%,,탐구:5%,
경일대학교,경북,정시,가군,년 이상 우리나라 학교 교육과,00,,,,5%,,탐구:5%,
계명대학교,대구,정시,다군,전공 지원전공과,3,,,100%,,,영어:100%,
국민대학교,서울,정시,가군,자유전공,763,40%,30%,10%,,,국어:40% | 수학:30% | 영어:10%,
국민대학교,서울,정시,가군,기업융합법학과,46,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,기업경영학부,98,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,회계세무학과,12,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,명 중 미래모빌리티학과,105,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,모집단위별 세부,550,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,모집단위별 세부,70,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,모집단위별 세부,723,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,모집단위별 세부,29,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,모집단위별 세부,10,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,모집단위별 세부,122,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,모집단위별 세부,20,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,모집단위별 세부,100,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,모집단위별 세부,57,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
